Journal,ISSN,eISSN,Category,IF(2024),IF Quartile(2024),IF Rank(2024)
ACS Energy Letters,2380-8195,2380-8195,"CHEMISTRY, PHYSICAL(SCIE);ELECTROCHEMISTRY(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",18.2,Q1,8/182
Cyborg and Bionic Systems,N/A,2692-7632,"ENGINEERING, BIOMEDICAL(SCIE);ROBOTICS(SCIE)",18.1,Q1,4/124
TRENDS IN CELL BIOLOGY,0962-8924,1879-3088,CELL BIOLOGY(SCIE),18.1,Q1,11/204
JAMA Pediatrics,2168-6203,2168-6211,PEDIATRICS(SCIE),18,Q1,1/191
Lancet Global Health,2214-109X,2214-109X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",18,Q1,6/419
Nano Materials Science,2096-6482,2589-9651,"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)",17.9,Q1,25/460
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,0146-6410,1873-2224,"PHYSICS, NUCLEAR(SCIE);PHYSICS, PARTICLES & FIELDS(SCIE)",17.9,Q1,45679
Lancet Haematology,2352-3026,N/A,HEMATOLOGY(SCIE),17.7,Q1,3/98
Chinese Journal of Catalysis,0253-9837,1872-2067,"CHEMISTRY, APPLIED(SCIE);CHEMISTRY, PHYSICAL(SCIE);ENGINEERING, CHEMICAL(SCIE)",17.7,Q1,1/75
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",17.7,Q1,14/239
Psychological Science in the Public Interest,1529-1006,1539-6053,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",17.6,Q1,4/221
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,1872-8294,PHARMACOLOGY & PHARMACY(SCIE),17.6,Q1,4/352
Eco-Environment & Health,N/A,2772-9850,ENVIRONMENTAL SCIENCES(ESCI),17.6,Q1,8/374
Molecular Neurodegeneration,N/A,1750-1326,NEUROSCIENCES(SCIE),17.5,Q1,4/314
Matter,2590-2393,2590-2385,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",17.5,Q1,26/460
Trends in Cancer,2405-8033,2405-8025,ONCOLOGY(SCIE),17.5,Q1,15/326
PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,1423-0348,"PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY(SCIE)",17.4,Q1,3/288
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,1545-861X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)",17.3,Q1,7/419
PHARMACOLOGICAL REVIEWS,0031-6997,1521-0081,PHARMACOLOGY & PHARMACY(SCIE),17.3,Q1,5/352
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,ECOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE),17.3,Q1,1/200
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1558-0008,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)",17.2,Q1,4/366
TRENDS IN COGNITIVE SCIENCES,1364-6613,1879-307X,"BEHAVIORAL SCIENCES(SCIE);NEUROSCIENCES(SCIE);PSYCHOLOGY, EXPERIMENTAL(SSCI)",17.2,Q1,1/102
STUDIES IN MYCOLOGY,0166-0616,1872-9797,MYCOLOGY(SCIE),17.1,Q1,2/32
JAMA Psychiatry,2168-622X,2168-6238,"PSYCHIATRY(SCIE, SSCI)",17.1,Q1,4/288
National Science Review,2095-5138,2053-714X,MULTIDISCIPLINARY SCIENCES(SCIE),17.1,Q1,8/135
Nano Energy,2211-2855,2211-3282,"CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)",17.1,Q1,10/187
eTransportation,2590-1168,2590-1168,"ENERGY & FUELS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)",17,Q1,1/77
Clinical and Molecular Hepatology,2287-2728,2287-285X,GASTROENTEROLOGY & HEPATOLOGY(SCIE),16.9,Q1,6/147
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,N/A,1521-3773,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",16.9,Q1,15/239
International Journal of Educational Technology in Higher Education,2365-9440,2365-9440,EDUCATION & EDUCATIONAL RESEARCH(SSCI),16.7,Q1,1/756
Annual Review of Entomology,0066-4170,1545-4487,ENTOMOLOGY(SCIE),16.7,Q1,1/110
DIABETES CARE,0149-5992,1935-5548,ENDOCRINOLOGY & METABOLISM(SCIE),16.6,Q1,6/191
Journal of Advanced Ceramics,2226-4108,2227-8508,"MATERIALS SCIENCE, CERAMICS(SCIE)",16.6,Q1,1/33
Molecular Cell,1097-2765,1097-4164,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE),16.6,Q1,7/319
CANCER RESEARCH,0008-5472,1538-7445,ONCOLOGY(SCIE),16.6,Q1,16/326
Annual Review of Clinical Psychology,1548-5943,1548-5951,"PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)",16.5,Q1,1/185
Academy of Management Annals,1941-6520,1941-6067,BUSINESS(SSCI);MANAGEMENT(SSCI),16.5,Q1,1/316
Lancet Rheumatology,2665-9913,2665-9913,RHEUMATOLOGY(SCIE),16.4,Q1,3/58
IEEE Geoscience and Remote Sensing Magazine,2473-2397,2168-6831,GEOCHEMISTRY & GEOPHYSICS(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE);REMOTE SENSING(SCIE),16.4,Q1,1/65
Journal of the National Comprehensive Cancer Network,1540-1405,1540-1413,ONCOLOGY(SCIE),16.4,Q1,17/326
Green Energy and Intelligent Transportation,2097-2512,2773-1537,TRANSPORTATION SCIENCE & TECHNOLOGY(ESCI),16.4,Q1,2/77
Science Immunology,2470-9468,2470-9468,IMMUNOLOGY(SCIE),16.3,Q1,6/183
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1364-0321,1879-0690,ENERGY & FUELS(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE),16.3,Q1,3/102
TRENDS IN GENETICS,0168-9525,1362-4555,GENETICS & HEREDITY(SCIE),16.3,Q1,4/191
BRITISH JOURNAL OF SPORTS MEDICINE,0306-3674,1473-0480,SPORT SCIENCES(SCIE),16.2,Q1,1/133
CIRCULATION RESEARCH,0009-7330,1524-4571,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);HEMATOLOGY(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE),16.2,Q1,2/98
PROGRESS IN AEROSPACE SCIENCES,0376-0421,1873-1724,"ENGINEERING, AEROSPACE(SCIE)",16.2,Q1,1/55
HUMAN REPRODUCTION UPDATE,1355-4786,1460-2369,OBSTETRICS & GYNECOLOGY(SCIE);REPRODUCTIVE BIOLOGY(SCIE),16.1,Q1,1/140
Nature Geoscience,1752-0894,1752-0908,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",16.1,Q1,2/258
Applied Mechanics Reviews,0003-6900,2379-0407,MECHANICS(SCIE),16.1,Q1,2/171
Nature Protocols,1754-2189,1750-2799,BIOCHEMICAL RESEARCH METHODS(SCIE),16,Q1,2/86
ACS Nano,1936-0851,1936-086X,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",16,Q1,28/460
Annual Review of Environment and Resources,1543-5938,1545-2050,ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI),16,Q1,3/191
Nature Human Behaviour,2397-3374,2397-3374,"MULTIDISCIPLINARY SCIENCES(SCIE);NEUROSCIENCES(SCIE);PSYCHOLOGY, EXPERIMENTAL(SSCI)",15.9,Q1,2/102
Energy Material Advances,2097-1133,2692-7640,"PHYSICS, APPLIED(ESCI)",15.9,Q1,11/187
HEPATOLOGY,0270-9139,1527-3350,GASTROENTEROLOGY & HEPATOLOGY(SCIE),15.8,Q1,7/147
Physical Review X,2160-3308,2160-3308,"PHYSICS, MULTIDISCIPLINARY(SCIE)",15.7,Q1,6/114
PERIODONTOLOGY 2000,0906-6713,1600-0757,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",15.7,Q1,1/162
SEMINARS IN CANCER BIOLOGY,1044-579X,1096-3650,ONCOLOGY(SCIE),15.7,Q1,18/326
Nature Communications,N/A,2041-1723,MULTIDISCIPLINARY SCIENCES(SCIE),15.7,Q1,10/135
Journal of the American Chemical Society,0002-7863,1520-5126,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",15.6,Q1,17/239
Lancet Child & Adolescent Health,2352-4642,2352-4642,PEDIATRICS(SCIE),15.5,Q1,2/191
Journal of Innovation & Knowledge,2530-7614,2444-569X,BUSINESS(SSCI);MANAGEMENT(SSCI),15.5,Q1,2/316
Information Fusion,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",15.5,Q1,3/147
npj Flexible Electronics,N/A,2397-4621,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",15.5,Q1,6/366
BMEMat,2751-7438,2751-7446,"MATERIALS SCIENCE, BIOMATERIALS(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)",15.5,Q1,3/55
INTERNATIONAL MATERIALS REVIEWS,0950-6608,1743-2804,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",15.5,Q1,29/460
Statistics Surveys,1935-7516,1935-7516,STATISTICS & PROBABILITY(ESCI),15.4,Q1,1/167
TRENDS IN FOOD SCIENCE & TECHNOLOGY,0924-2244,1879-3053,FOOD SCIENCE & TECHNOLOGY(SCIE),15.4,Q1,2/181
CELL DEATH AND DIFFERENTIATION,1350-9047,1476-5403,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE),15.4,Q1,8/319
One Earth,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE),15.3,Q1,4/191
RADIOLOGY,0033-8419,N/A,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",15.2,Q1,1/212
ANNALS OF INTERNAL MEDICINE,0003-4819,1539-3704,"MEDICINE, GENERAL & INTERNAL(SCIE)",15.2,Q1,9/332
JACC-Cardiovascular Imaging,1936-878X,1876-7591,"CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",15.2,Q1,1/212
Translational Neurodegeneration,2047-9158,2047-9158,NEUROSCIENCES(SCIE),15.2,Q1,7/314
Mycosphere,2077-7000,2077-7019,MYCOLOGY(SCIE),15.1,Q1,3/32
npj Digital Medicine,2398-6352,2398-6352,HEALTH CARE SCIENCES & SERVICES(SCIE);MEDICAL INFORMATICS(SCIE),15.1,Q1,1/185
TRENDS IN NEUROSCIENCES,0166-2236,1878-108X,NEUROSCIENCES(SCIE),15.1,Q1,8/314
Neuron,0896-6273,1097-4199,NEUROSCIENCES(SCIE),15,Q1,9/314
Bone Research,2095-4700,2095-6231,CELL & TISSUE ENGINEERING(SCIE),15,Q1,2/32
JAMA Surgery,2168-6254,2168-6262,SURGERY(SCIE),14.9,Q1,1/312
Journal of Energy Chemistry,2095-4956,2095-4956,"CHEMISTRY, APPLIED(SCIE);CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE)",14.9,Q1,2/75
PROGRESS IN LIPID RESEARCH,0163-7827,1873-2194,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);NUTRITION & DIETETICS(SCIE),14.9,Q1,1/112
TRENDS IN BIOTECHNOLOGY,0167-7799,1879-3096,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE),14.9,Q1,3/177
TRENDS IN MICROBIOLOGY,0966-842X,1878-4380,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MICROBIOLOGY(SCIE),14.9,Q1,9/319
International Journal of Transgender Health,2689-5269,2689-5277,"PSYCHOLOGY, CLINICAL(SSCI);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",14.8,Q1,1/271
AI Open,N/A,2666-6510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",14.8,Q1,3/175
PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,1873-1635,OPHTHALMOLOGY(SCIE),14.7,Q1,1/98
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,1535-7228,"PSYCHIATRY(SCIE, SSCI)",14.7,Q1,5/288
ENDOCRINE PATHOLOGY,1046-3976,1559-0097,ENDOCRINOLOGY & METABOLISM(SCIE);PATHOLOGY(SCIE),14.7,Q1,2/90
Accounts of Materials Research,N/A,2643-6728,"CHEMISTRY, MULTIDISCIPLINARY(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",14.7,Q1,31/460
Acta Pharmaceutica Sinica B,2211-3835,2211-3843,PHARMACOLOGY & PHARMACY(SCIE),14.6,Q1,6/352
Science Translational Medicine,1946-6234,1946-6242,"CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",14.6,Q1,3/195
Lancet Healthy Longevity,2666-7568,2666-7568,GERIATRICS & GERONTOLOGY(SCIE),14.6,Q1,2/73
Nature Reviews Urology,1759-4812,1759-4820,UROLOGY & NEPHROLOGY(SCIE),14.6,Q1,4/133
Green Energy & Environment,2096-2797,2468-0257,"CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)",14.6,Q1,7/175
HemaSphere,N/A,2572-9241,HEMATOLOGY(SCIE),14.6,Q1,5/98
Nature Ecology & Evolution,2397-334X,2397-334X,ECOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE),14.5,Q1,2/200
Communications in Transportation Research,2772-4247,2772-4247,TRANSPORTATION(SSCI);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE),14.5,Q1,1/61
Journal of Extracellular Vesicles,N/A,2001-3078,CELL BIOLOGY(SCIE),14.5,Q1,15/204
DRUGS,0012-6667,1179-1950,PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE),14.4,Q1,1/106
Qualitative Psychology,2326-3601,2326-3598,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",14.3,Q1,5/221
IEEE Transactions on Intelligent Vehicles,2379-8858,2379-8904,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)",14.3,Q1,7/366
Nature Astronomy,2397-3366,2397-3366,ASTRONOMY & ASTROPHYSICS(SCIE),14.3,Q1,5/84
Journal of Materials Science & Technology,1005-0302,1941-1162,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);METALLURGY & METALLURGICAL ENGINEERING(SCIE)",14.3,Q1,1/96
Physics of Life Reviews,1571-0645,1873-1457,BIOLOGY(SCIE);BIOPHYSICS(SCIE),14.3,Q1,1/107
Environmental Science and Ecotechnology,2666-4984,2666-4984,ENVIRONMENTAL SCIENCES(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE),14.3,Q1,11/374
Autophagy,1554-8627,1554-8635,CELL BIOLOGY(SCIE),14.3,Q1,16/204
Energy Economics,0140-9883,1873-6181,ECONOMICS(SSCI),14.2,Q1,1/617
COMPOSITES PART B-ENGINEERING,1359-8368,1879-1069,"ENGINEERING, MULTIDISCIPLINARY(SCIE);MATERIALS SCIENCE, COMPOSITES(SCIE)",14.2,Q1,1/175
JOURNAL OF MANUFACTURING SYSTEMS,0278-6125,1878-6642,"ENGINEERING, INDUSTRIAL(SCIE);ENGINEERING, MANUFACTURING(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",14.2,Q1,1/106
JAMA Cardiology,2380-6583,2380-6591,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),14.1,Q1,7/230
Energy & Environmental Materials,N/A,2575-0356,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",14.1,Q1,33/460
Advanced Science,N/A,2198-3844,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",14.1,Q1,33/460
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,1541-4337,1541-4337,FOOD SCIENCE & TECHNOLOGY(SCIE),14.1,Q1,3/181
Annual Review of Control Robotics and Autonomous Systems,N/A,2573-5144,AUTOMATION & CONTROL SYSTEMS(SCIE);ROBOTICS(SCIE),14,Q1,2/89
ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,BUSINESS(SSCI);MANAGEMENT(SSCI),13.9,Q1,3/316
ARTIFICIAL INTELLIGENCE REVIEW,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",13.9,Q1,7/204
TRENDS IN IMMUNOLOGY,1471-4906,1471-4981,IMMUNOLOGY(SCIE),13.9,Q1,7/183
Journal of Magnesium and Alloys,2213-9567,2213-9567,METALLURGY & METALLURGICAL ENGINEERING(SCIE),13.8,Q1,2/96
Advances in Applied Energy,2666-7924,2666-7924,ENERGY & FUELS(ESCI),13.8,Q1,13/182
TRENDS IN MOLECULAR MEDICINE,1471-4914,1471-499X,"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",13.8,Q1,4/195
Materials Reports: Energy,N/A,2666-9358,"CHEMISTRY, MULTIDISCIPLINARY(ESCI);ENERGY & FUELS(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",13.8,Q1,13/182
ADVANCES IN PHYSICS,0001-8732,1460-6976,"PHYSICS, CONDENSED MATTER(SCIE)",13.8,Q1,6/79
International Journal of Mining Science and Technology,2095-2686,2212-6066,MINING & MINERAL PROCESSING(SCIE),13.7,Q1,1/33
BEHAVIORAL AND BRAIN SCIENCES,0140-525X,1469-1825,"BEHAVIORAL SCIENCES(SCIE);NEUROSCIENCES(SCIE);PSYCHOLOGY, BIOLOGICAL(SSCI)",13.7,Q1,2/57
Nature Chemical Biology,1552-4450,1552-4469,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),13.7,Q1,12/319
IEEE Journal of Selected Topics in Signal Processing,1932-4553,1941-0484,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",13.7,Q1,8/366
Annual Review of Biophysics,1936-122X,1936-1238,BIOPHYSICS(SCIE),13.7,Q1,2/79
IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",13.7,Q1,8/366
Aggregate,N/A,2692-4560,"CHEMISTRY, MULTIDISCIPLINARY(ESCI);CHEMISTRY, PHYSICAL(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",13.7,Q1,36/460
Nature Plants,2055-026X,2055-0278,PLANT SCIENCES(SCIE),13.6,Q1,4/273
JOURNAL OF CLINICAL INVESTIGATION,0021-9738,1558-8238,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",13.6,Q1,5/195
Interdisciplinary Medicine,2832-6237,2832-6245,"MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)",13.6,Q1,5/195
Trends in Chemistry,N/A,2589-5974,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",13.6,Q1,22/239
Biochar,2524-7972,2524-7867,ENVIRONMENTAL SCIENCES(SCIE);SOIL SCIENCE(SCIE),13.5,Q1,1/48
Experimental Hematology & Oncology,N/A,2162-3619,HEMATOLOGY(SCIE);ONCOLOGY(SCIE),13.5,Q1,6/98
ACTA PHYSICO-CHIMICA SINICA,1000-6818,N/A,"CHEMISTRY, PHYSICAL(SCIE)",13.5,Q1,20/185
Advances in Methods and Practices in Psychological Science,2515-2459,2515-2467,"PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",13.4,Q1,6/221
NEURO-ONCOLOGY,1522-8517,1523-5866,CLINICAL NEUROLOGY(SCIE);ONCOLOGY(SCIE),13.4,Q1,4/285
Implementation Science,1748-5908,1748-5908,HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI),13.4,Q1,1/124
Trends in Environmental Analytical Chemistry,2214-1588,2214-1588,"CHEMISTRY, ANALYTICAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)",13.4,Q1,1/111
LEUKEMIA,0887-6924,1476-5551,HEMATOLOGY(SCIE);ONCOLOGY(SCIE),13.4,Q1,20/326
Annual Review of Nutrition,0199-9885,1545-4312,NUTRITION & DIETETICS(SCIE),13.4,Q1,2/112
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,1359-0286,1879-0348,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)",13.4,Q1,12/187
Theranostics,1838-7640,1838-7640,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",13.3,Q1,7/195
Business Strategy and the Environment,0964-4733,1099-0836,BUSINESS(SSCI);ENVIRONMENTAL STUDIES(SSCI);MANAGEMENT(SSCI),13.3,Q1,5/420
CARDIOVASCULAR RESEARCH,0008-6363,1755-3245,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),13.3,Q1,8/230
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,0040-1625,1873-5509,BUSINESS(SSCI);REGIONAL & URBAN PLANNING(SSCI),13.3,Q1,1/55
Radiology-Artificial Intelligence,2638-6100,2638-6100,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)",13.2,Q1,3/212
Annual Review of Neuroscience,0147-006X,1545-4126,NEUROSCIENCES(SCIE),13.2,Q1,11/314
Chemical Engineering Journal,1385-8947,1873-3212,"ENGINEERING, CHEMICAL(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE)",13.2,Q1,3/83
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1064-3389,1547-6537,ENVIRONMENTAL SCIENCES(SCIE),13.2,Q1,14/374
NUCLEIC ACIDS RESEARCH,0305-1048,1362-4962,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),13.1,Q1,13/319
Journal of Retailing and Consumer Services,0969-6989,1873-1384,BUSINESS(SSCI),13.1,Q1,6/316
CEMENT AND CONCRETE RESEARCH,0008-8846,1873-3948,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",13.1,Q1,1/95
Annual Review of Pharmacology and Toxicology,0362-1642,1545-4304,PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE),13.1,Q1,2/106
CEMENT & CONCRETE COMPOSITES,0958-9465,1873-393X,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);MATERIALS SCIENCE, COMPOSITES(SCIE)",13.1,Q1,1/95
ACS Catalysis,2155-5435,2155-5435,"CHEMISTRY, PHYSICAL(SCIE)",13.1,Q1,21/185
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,1873-2739,"CHEMISTRY, PHYSICAL(SCIE)",13.1,Q1,21/185
Journal of Bioresources and Bioproducts,2097-2415,2369-9698,"MATERIALS SCIENCE, PAPER & WOOD(SCIE)",13,Q1,45681
Lancet Regional Health-Europe,2666-7762,2666-7762,"HEALTH CARE SCIENCES & SERVICES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",13,Q1,3/185
Journal of Advanced Research,2090-1232,2090-1224,MULTIDISCIPLINARY SCIENCES(SCIE),13,Q1,11/135
Lancet HIV,2352-3018,2352-3018,IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE),13,Q1,3/137
HUMAN RESOURCE MANAGEMENT REVIEW,1053-4822,1873-7889,MANAGEMENT(SSCI),13,Q1,6/420
Annual Review of Earth and Planetary Sciences,0084-6597,1545-4495,"ASTRONOMY & ASTROPHYSICS(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",13,Q1,3/258
Foundations and Trends in Information Retrieval,1554-0669,1554-0677,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",12.9,Q1,2/258
BIOMATERIALS,0142-9612,1878-5905,"ENGINEERING, BIOMEDICAL(SCIE);MATERIALS SCIENCE, BIOMATERIALS(SCIE)",12.9,Q1,5/124
EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,2092-6413,"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",12.9,Q1,8/195
ENDOSCOPY,0013-726X,1438-8812,GASTROENTEROLOGY & HEPATOLOGY(SCIE);SURGERY(SCIE),12.8,Q1,2/312
INTERNATIONAL JOURNAL OF PLASTICITY,0749-6419,1879-2154,"ENGINEERING, MECHANICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);MECHANICS(SCIE)",12.8,Q1,3/182
JACC: CardioOncology,2666-0873,2666-0873,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);ONCOLOGY(SCIE),12.8,Q1,9/230
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,N/A,1756-9966,ONCOLOGY(SCIE),12.8,Q1,22/326
SmartMat,2766-8525,2688-819X,"CHEMISTRY, MULTIDISCIPLINARY(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",12.8,Q1,39/460
Protein & Cell,1674-800X,1674-8018,CELL BIOLOGY(SCIE),12.8,Q1,18/204
Annual Review of Chemical and Biomolecular Engineering,1947-5438,1947-5446,"CHEMISTRY, APPLIED(SCIE);ENGINEERING, CHEMICAL(SCIE)",12.8,Q1,3/75
QUARTERLY JOURNAL OF ECONOMICS,0033-5533,1531-4650,ECONOMICS(SSCI),12.7,Q1,2/617
Microbiome,2049-2618,2049-2618,MICROBIOLOGY(SCIE),12.7,Q1,8/163
