期刊缩写,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score,JCR分区,2019年文章数,出版国家,出版周期
Syst Biol,SYSTEMATIC BIOLOGY,16502,10.408,0.01878,Q1,70,美国,双月刊
Lancet Haematol,Lancet Haematology,2446,10.406,0.01108,Q1,49,英国,
Biomaterials,BIOMATERIALS,108070,10.317,0.08921,Q1,526,荷兰,双周刊
Int J Intell Syst,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,5796,10.312,0.00456,Q1,142,美国,月刊
Biosens Bioelectron,BIOSENSORS & BIOELECTRONICS,62284,10.257,0.08607,Q1,882,荷兰,月刊
Clin Psychol Rev,CLINICAL PSYCHOLOGY REVIEW,17219,10.255,0.02069,Q1,62,,
J Immunother Cancer,Journal for ImmunoTherapy of Cancer,4557,10.252,0.01606,Q1,326,,
P IEEE,PROCEEDINGS OF THE IEEE,33312,10.252,0.02832,Q1,119,,
Neuro-Oncology,NEURO-ONCOLOGY,12950,10.247,0.02909,Q1,133,美国,季刊
Dialogues Hum Geogr,Dialogues in Human Geography,747,10.231,0.00171,Q1,10,,
J Allergy Clin Immun,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,52417,10.228,0.07747,Q1,296,美国,月刊
Am J Gastroenterol,AMERICAN JOURNAL OF GASTROENTEROLOGY,32469,10.171,0.03757,Q1,169,美国,月刊
Protein Cell,Protein & Cell,3772,10.164,0.00995,Q1,40,中国,
Ann Surg,ANNALS OF SURGERY,50639,10.13,0.06148,Q1,295,美国,月刊
Clin Cancer Res,CLINICAL CANCER RESEARCH,85288,10.107,0.13169,Q1,672,美国,双月刊
Dev Cell,DEVELOPMENTAL CELL,29445,10.092,0.0656,Q1,225,美国,月刊
Redox Biol,Redox Biology,10157,9.986,0.02379,Q1,278,荷兰,
IEEE Internet Things,IEEE Internet of Things Journal,12832,9.936,0.02268,Q1,897,,
Nanoscale Horiz,Nanoscale Horizons,1774,9.927,0.00361,Q1,142,,
Adv Colloid Interfac,ADVANCES IN COLLOID AND INTERFACE SCIENCE,15404,9.922,0.01508,Q1,103,荷兰,双月刊
Psychol Inq,PSYCHOLOGICAL INQUIRY,4938,9.917,0.00386,Q1,11,,
Compr Rev Food Sci F,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,6975,9.912,0.00866,Q1,100,美国,季刊
J Econ Perspect,JOURNAL OF ECONOMIC PERSPECTIVES,13524,9.912,0.0221,Q1,47,,
EMBO J,EMBO JOURNAL,64726,9.889,0.05965,Q1,223,美国,双月刊
J Cachexia Sarcopeni,Journal of Cachexia Sarcopenia and Muscle,3553,9.802,0.00786,Q1,87,德国,
TrAC-Trend Anal Chem,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,18843,9.801,0.02314,Q1,381,英国,月刊
Angiogenesis,ANGIOGENESIS,3571,9.78,0.00548,Q1,45,荷兰,季刊
Optica,Optica,9728,9.778,0.04659,Q1,230,美国,
Autophagy,Autophagy,18015,9.77,0.03062,Q1,126,美国,月刊
Cancer Res,CANCER RESEARCH,135754,9.727,0.11879,Q1,536,美国,双月刊
Earth-Sci Rev,EARTH-SCIENCE REVIEWS,20242,9.724,0.0338,Q1,226,荷兰,月刊
Liver Cancer,Liver Cancer,1131,9.72,0.00267,Q1,31,,
Annu Rev Med,Annual Review of Medicine,6267,9.716,0.0094,Q1,35,美国,年刊
Curr Opin Chem Biol,CURRENT OPINION IN CHEMICAL BIOLOGY,10971,9.689,0.01778,Q1,112,英国,双月刊
Surf Sci Rep,SURFACE SCIENCE REPORTS,4478,9.688,0.00249,Q1,6,荷兰,月刊
Plant Cell,PLANT CELL,54927,9.618,0.04873,Q1,151,美国,月刊
Sleep Med Rev,SLEEP MEDICINE REVIEWS,8072,9.607,0.013,Q1,66,英国,双月刊
Curr Biol,CURRENT BIOLOGY,63258,9.601,0.13329,Q1,475,美国,双月刊
Lab Animal,LAB ANIMAL,732,9.6,0.00132,Q1,3,美国,月刊
Mol Neurodegener,Molecular Neurodegeneration,4936,9.599,0.01184,Q1,47,英国,月刊
Arthritis Rheumatol,Arthritis & Rheumatology,12256,9.586,0.04874,Q1,197,美国,
Mol Aspects Med,MOLECULAR ASPECTS OF MEDICINE,6207,9.577,0.00575,Q1,44,荷兰,双月刊
Curr Opin Solid St M,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,4130,9.571,0.00453,Q1,27,美国,双月刊
Chem Mater,CHEMISTRY OF MATERIALS,111299,9.567,0.15263,Q1,1041,美国,双月刊
Annu Rev Chem Biomol,Annual Review of Chemical and Biomolecular Engineering,1904,9.561,0.00359,Q1,17,美国,
Gene Dev,GENES & DEVELOPMENT,55198,9.527,0.06306,Q1,116,美国,双月刊
IEEE T Fuzzy Syst,IEEE TRANSACTIONS ON FUZZY SYSTEMS,16974,9.518,0.0253,Q1,196,美国,季刊
Sci Bull,Science Bulletin,5172,9.511,0.01417,Q1,172,中国,
Green Chem,GREEN CHEMISTRY,49706,9.48,0.06424,Q1,651,英国,双月刊
P Natl Acad Sci USA,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,676445,9.412,0.93263,Q1,3347,,
B Am Meteorol Soc,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,24814,9.384,0.03405,Q1,149,美国,月刊
Prog Neurobiol,PROGRESS IN NEUROBIOLOGY,12793,9.371,0.01125,Q1,62,英国,月刊
Chem Sci,Chemical Science,51683,9.346,0.13736,Q1,1270,英国,
npj Comput Mater,npj Computational Materials,2052,9.341,0.00715,Q1,126,,
IEEE T Image Process,IEEE TRANSACTIONS ON IMAGE PROCESSING,47814,9.34,0.07945,Q1,446,美国,月刊
npj 2D Mater Appl,npj 2D Materials and Applications,719,9.324,0.00276,Q1,51,,
J Natl Compr Canc Ne,Journal of the National Comprehensive Cancer Network,6912,9.316,0.02005,Q1,155,美国,月刊
IEEE T Syst Man Cy-S,IEEE Transactions on Systems Man Cybernetics-Systems,12083,9.309,0.02209,Q1,235,美国,
Med Res Rev,MEDICINAL RESEARCH REVIEWS,4975,9.3,0.00534,Q1,70,美国,双月刊
Front Ecol Environ,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,11288,9.295,0.01503,Q1,51,美国,月刊
J Am Soc Nephrol,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,39047,9.274,0.05772,Q1,173,美国,月刊
Int J Eng Sci,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,11757,9.219,0.01041,Q1,106,英国,双月刊
Earth Syst Sci Data,Earth System Science Data,3388,9.197,0.01378,Q1,102,德国,
Semin Immunol,SEMINARS IN IMMUNOLOGY,5345,9.186,0.01023,Q1,47,英国,双月刊
ISME J,ISME Journal,26477,9.18,0.05176,Q1,250,美国,月刊
Anal Methods Accid R,Analytic Methods in Accident Research,881,9.179,0.00318,Q1,18,,
J Int Bus Stud,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,15273,9.158,0.00752,Q1,72,,
JACC-Heart Fail,JACC-Heart Failure,4117,9.14,0.01922,Q1,88,美国,
Water Res,WATER RESEARCH,99442,9.13,0.08117,Q1,940,英国,双月刊
IEEE T Ind Inform,IEEE Transactions on Industrial Informatics,18363,9.112,0.0353,Q1,605,美国,季刊
Annu Rev Earth Pl Sc,Annual Review of Earth and Planetary Sciences,8732,9.089,0.00859,Q1,22,美国,年刊
Remote Sens Environ,REMOTE SENSING OF ENVIRONMENT,62697,9.085,0.05749,Q1,476,,
IEEE Comput Intell M,IEEE Computational Intelligence Magazine,1538,9.083,0.00278,Q1,26,美国,季刊
Front Neuroendocrin,FRONTIERS IN NEUROENDOCRINOLOGY,4490,9.044,0.00706,Q1,58,美国,季刊
J Hazard Mater,JOURNAL OF HAZARDOUS MATERIALS,110068,9.038,0.07028,Q1,1262,荷兰,双月刊
Ann Neurol,ANNALS OF NEUROLOGY,37304,9.037,0.04417,Q1,175,美国,月刊
Stud Mycol,STUDIES IN MYCOLOGY,3400,9.027,0.00427,Q1,12,荷兰,年刊
Mol Syst Biol,Molecular Systems Biology,8914,8.991,0.01739,Q1,44,美国,月刊
Brief Bioinform,BRIEFINGS IN BIOINFORMATICS,7545,8.99,0.0152,Q1,181,英国,双月刊
Mol Ther,MOLECULAR THERAPY,17977,8.986,0.03097,Q1,160,美国,月刊
Annu Rev Food Sci T,Annual Review of Food Science and Technology,2185,8.96,0.00331,Q1,26,美国,
Kidney Int,KIDNEY INTERNATIONAL,43892,8.945,0.04436,Q1,215,美国,月刊
Prog Aerosp Sci,PROGRESS IN AEROSPACE SCIENCES,4324,8.94,0.00516,Q1,42,美国,双月刊
Soc Iss Policy Rev,Social Issues and Policy Review,618,8.938,0.00172,Q1,8,,
Genet Med,GENETICS IN MEDICINE,13046,8.904,0.04094,Q1,299,美国,月刊
Prog Nucl Mag Res Sp,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,2769,8.892,0.00273,Q1,19,英国,双月刊
Mass Spectrom Rev,MASS SPECTROMETRY REVIEWS,4059,8.887,0.00391,Q1,22,美国,双月刊
Cancer Treat Rev,CANCER TREATMENT REVIEWS,9427,8.885,0.01783,Q1,70,英国,季刊
J Manage,JOURNAL OF MANAGEMENT,24203,8.852,0.0219,Q1,108,,
Appl Energ,APPLIED ENERGY,98570,8.848,0.14836,Q1,1792,英国,月刊
Carbon,CARBON,86891,8.821,0.08828,Q1,1126,美国,月刊
EMBO Mol Med,EMBO Molecular Medicine,8366,8.821,0.02278,Q1,87,英国,月刊
J Cell Biol,JOURNAL OF CELL BIOLOGY,66931,8.811,0.06658,Q1,255,美国,双周刊
IEEE Network,IEEE NETWORK,5098,8.808,0.01069,Q1,163,美国,双月刊
IEEE T Neur Net Lear,IEEE Transactions on Neural Networks and Learning Systems,27880,8.793,0.04865,Q1,316,美国,
Annu Rev Nucl Part S,Annual Review of Nuclear and Particle Science,2593,8.778,0.00307,Q1,16,美国,年刊
Neurology,NEUROLOGY,90213,8.77,0.10367,Q1,532,美国,双月刊
ACS Appl Mater Inter,ACS Applied Materials & Interfaces,214885,8.758,0.4248,Q1,5181,美国,月刊
Cancer Immunol Res,Cancer Immunology Research,6969,8.728,0.02647,Q1,174,美国,
Bioact Mater,Bioactive Materials,859,8.724,0.00165,Q1,39,,
Allergy,ALLERGY,18217,8.706,0.02436,Q1,189,英国,月刊
Movement Disord,MOVEMENT DISORDERS,27638,8.679,0.03117,Q1,170,美国,双月刊
Cell Syst,Cell Systems,3822,8.673,0.02932,Q1,94,,
Ecol Lett,ECOLOGY LETTERS,34488,8.665,0.03917,Q1,196,英国,月刊
Leukemia,LEUKEMIA,25819,8.665,0.04869,Q1,231,英国,月刊
J Crohns Colitis,Journal of Crohns & Colitis,8670,8.658,0.02289,Q1,163,荷兰,季刊
Int J Manag Rev,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,4478,8.631,0.00397,Q1,22,,
Theranostics,Theranostics,12995,8.579,0.02978,Q1,554,澳大利亚,
Matrix Biol,MATRIX BIOLOGY,6878,8.572,0.01193,Q1,88,荷兰,双月刊
Global Change Biol,GLOBAL CHANGE BIOLOGY,45069,8.555,0.07437,Q1,321,英国,双月刊
Comput-Aided Civ Inf,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,3746,8.552,0.00468,Q1,64,美国,双月刊
Sports Med,SPORTS MEDICINE,18114,8.551,0.02539,Q1,131,新西兰,月刊
Clin Gastroenterol H,Clinical Gastroenterology and Hepatology,18281,8.549,0.03732,Q1,260,美国,月刊
Lancet Child Adolesc,Lancet Child & Adolescent Health,979,8.543,0.00485,Q1,70,,
New Phytol,NEW PHYTOLOGIST,57929,8.512,0.0821,Q1,595,英国,
Cell Mol Immunol,Cellular & Molecular Immunology,4604,8.484,0.01,Q1,75,中国,双月刊
Ophthalmology,OPHTHALMOLOGY,38634,8.47,0.04542,Q1,163,美国,月刊
Acta Numer,ACTA NUMERICA,2068,8.455,0.00329,Q1,6,美国,
JACC-Cardiovasc Inte,JACC-Cardiovascular Interventions,11371,8.432,0.03744,Q1,178,美国,月刊
Psychol Methods,PSYCHOLOGICAL METHODS,13193,8.43,0.01229,Q1,43,,
Environ Innov Soc Tr,Environmental Innovation and Societal Transitions,2103,8.4,0.0038,Q1,52,,
Phys Rev Lett,PHYSICAL REVIEW LETTERS,443088,8.385,0.5148,Q1,2644,美国,周刊
Acad Manage Rev,ACADEMY OF MANAGEMENT REVIEW,35925,8.365,0.00994,Q1,34,,
Curr Opin Plant Biol,CURRENT OPINION IN PLANT BIOLOGY,14836,8.356,0.02272,Q1,89,英国,双月刊
Appl Mater Today,Applied Materials Today,2756,8.352,0.00613,Q1,143,,
Crit Rev Solid State,CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,1656,8.344,0.00162,Q1,15,美国,季刊
Environ Health Persp,ENVIRONMENTAL HEALTH PERSPECTIVES,42868,8.341,0.03447,Q1,128,美国,月刊
Adv Appl Mech,Advances in Applied Mechanics,1504,8.333,0.00028,Q1,3,美国,年刊
Neurosci Biobehav R,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,28871,8.329,0.05198,Q1,295,英国,双月刊
Cement Concrete Res,CEMENT AND CONCRETE RESEARCH,38685,8.328,0.01961,Q1,269,英国,月刊
Rev Educ Res,REVIEW OF EDUCATIONAL RESEARCH,10089,8.327,0.00735,Q1,23,,
Clin Infect Dis,CLINICAL INFECTIOUS DISEASES,66656,8.313,0.12395,Q1,605,美国,双月刊
Chest,CHEST,48091,8.308,0.04669,Q1,220,美国,月刊
Admin Sci Quart,ADMINISTRATIVE SCIENCE QUARTERLY,19173,8.304,0.00798,Q1,28,,
Crit Rev Env Sci Tec,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,6467,8.302,0.00556,Q1,54,美国,季刊
Curr Opin Biotech,CURRENT OPINION IN BIOTECHNOLOGY,15740,8.288,0.02365,Q1,157,英国,双月刊
Adv Opt Mater,Advanced Optical Materials,13352,8.286,0.03599,Q1,523,德国,
Bioscience,BIOSCIENCE,19070,8.282,0.01428,Q1,76,美国,月刊
Econ Geogr,ECONOMIC GEOGRAPHY,3575,8.279,0.00305,Q1,20,,
J Am Acad Dermatol,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,30658,8.277,0.0349,Q1,283,美国,月刊
Perspect Psychol Sci,Perspectives on Psychological Science,10478,8.275,0.02238,Q1,75,,
IEEE T Smart Grid,IEEE Transactions on Smart Grid,26670,8.267,0.0507,Q1,617,美国,
J Neurol Neurosur Ps,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,30621,8.263,0.02854,Q1,161,英国,月刊
J Power Sources,JOURNAL OF POWER SOURCES,125055,8.247,0.13193,Q1,1256,荷兰,双月刊
Curr Opin Cell Biol,CURRENT OPINION IN CELL BIOLOGY,13508,8.24,0.02375,Q1,107,英国,双月刊
Persoonia,PERSOONIA,1860,8.227,0.00376,Q1,11,荷兰,半年刊
Biofabrication,Biofabrication,4311,8.213,0.00747,Q1,100,英国,
Int J Inform Manage,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,7274,8.21,0.00627,Q1,158,,
Energ Convers Manage,ENERGY CONVERSION AND MANAGEMENT,62270,8.208,0.07953,Q1,1241,英国,双月刊
Astrophys J Lett,Astrophysical Journal Letters,35962,8.201,0.09221,Q1,583,美国,双周刊
Nano Res,Nano Research,19099,8.183,0.03893,Q1,377,中国,月刊
Cardiovasc Res,CARDIOVASCULAR RESEARCH,21526,8.168,0.01997,Q1,157,英国,月刊
Epidemiol Rev,EPIDEMIOLOGIC REVIEWS,3447,8.16,0.00304,Q1,0,美国,年刊
Plant Biotechnol J,PLANT BIOTECHNOLOGY JOURNAL,9587,8.154,0.01848,Q1,176,英国,月刊
Curr Opin Microbiol,CURRENT OPINION IN MICROBIOLOGY,10819,8.134,0.02061,Q1,72,英国,双月刊
Npg Asia Mater,NPG Asia Materials,5176,8.131,0.01175,Q1,79,日本,
Cell Rep,Cell Reports,51090,8.109,0.25518,Q1,1261,美国,月刊
Crit Rev Biotechnol,CRITICAL REVIEWS IN BIOTECHNOLOGY,4355,8.108,0.00609,Q1,65,美国,季刊
Resour Conserv Recy,RESOURCES CONSERVATION AND RECYCLING,17121,8.086,0.01602,Q1,438,荷兰,月刊
Annu Rev Env Resour,Annual Review of Environment and Resources,4465,8.065,0.00537,Q1,16,美国,年刊
Blood Cancer J,Blood Cancer Journal,2800,8.023,0.01041,Q1,65,英国,
Annu Rev Virol,Annual Review of Virology,1094,8.021,0.0055,Q1,29,美国,
Int J Mach Tool Manu,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,15422,8.019,0.0091,Q1,82,英国,月刊
ACM Comput Surv,ACM COMPUTING SURVEYS,8677,7.99,0.01266,Q1,151,美国,季刊
Oncogene,ONCOGENE,66303,7.971,0.06838,Q1,500,英国,周刊
Chemsuschem,ChemSusChem,27554,7.962,0.04816,Q1,515,德国,月刊
J Acad Market Sci,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,13101,7.959,0.00743,Q1,56,,
Schizophrenia Bull,SCHIZOPHRENIA BULLETIN,17703,7.958,0.02712,Q1,140,美国,双月刊
Astrophys J Suppl S,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,29046,7.95,0.04337,Q1,209,美国,月刊
Radiology,RADIOLOGY,52731,7.931,0.05731,Q1,298,美国,月刊
IEEE Veh Technol Mag,IEEE Vehicular Technology Magazine,1701,7.921,0.00422,Q1,40,美国,季刊
Clin Transl Med,Clinical and Translational Medicine,1349,7.919,0.00328,Q1,30,,
Cochrane Db Syst Rev,Cochrane Database of Systematic Reviews,67763,7.89,0.13455,Q1,573,英国,不定期
J Catal,JOURNAL OF CATALYSIS,49686,7.888,0.03345,Q1,497,美国,双月刊
J Nucl Med,JOURNAL OF NUCLEAR MEDICINE,26844,7.887,0.03307,Q1,251,美国,月刊
J Heart Lung Transpl,JOURNAL OF HEART AND LUNG TRANSPLANTATION,12465,7.865,0.02819,Q1,113,美国,月刊
Environ Sci Technol,ENVIRONMENTAL SCIENCE & TECHNOLOGY,187995,7.864,0.17042,Q1,1484,美国,双月刊
Crit Rev Food Sci,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,15322,7.862,0.01706,Q1,256,美国,双月刊
Brit J Psychiat,BRITISH JOURNAL OF PSYCHIATRY,24378,7.85,0.02055,Q1,79,英国,月刊
Brookings Pap Eco Ac,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,3128,7.8,0.00633,Q1,6,,
Rev Aquacult,Reviews in Aquaculture,1887,7.772,0.00252,Q1,74,澳大利亚,
Autoimmun Rev,AUTOIMMUNITY REVIEWS,9902,7.767,0.01832,Q1,123,美国,双月刊
Can Med Assoc J,CANADIAN MEDICAL ASSOCIATION JOURNAL,15212,7.744,0.01618,Q1,77,加拿大,双月刊
Gut Microbes,Gut Microbes,4013,7.74,0.00884,Q1,56,,
Cell Chem Biol,Cell Chemical Biology,3326,7.739,0.01578,Q1,151,,
JAMA Dermatol,JAMA Dermatology,5680,7.738,0.01816,Q1,109,美国,
Brit J Pharmacol,BRITISH JOURNAL OF PHARMACOLOGY,34041,7.73,0.0313,Q1,303,英国,双月刊
J Control Release,JOURNAL OF CONTROLLED RELEASE,49132,7.727,0.05133,Q1,446,荷兰,双月刊
Neurol-Neuroimmunol,Neurology-Neuroimmunology & Neuroinflammation,2232,7.724,0.00841,Q1,77,,
Ecol Monogr,ECOLOGICAL MONOGRAPHS,11572,7.722,0.0081,Q1,51,美国,季刊
Diabetes,DIABETES,53463,7.72,0.05329,Q1,209,美国,月刊
Periodontol 2000,PERIODONTOLOGY 2000,5159,7.718,0.00638,Q1,47,丹麦,三年刊
npj Precis Oncol,npj Precision Oncology,500,7.717,0.00152,Q1,33,,
Hypertension,HYPERTENSION,36242,7.713,0.04391,Q1,309,美国,月刊
Comput Sci Rev,Computer Science Review,940,7.707,0.00208,Q1,20,,
Int J Epidemiol,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,24910,7.707,0.04919,Q1,213,英国,双月刊
Prog Photovoltaics,PROGRESS IN PHOTOVOLTAICS,7394,7.69,0.00886,Q1,97,英国,双月刊
Wires Nanomed Nanobi,Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,2819,7.689,0.00424,Q1,37,美国,双月刊
Environ Sci-Nano,Environmental Science-Nano,5669,7.683,0.01256,Q1,284,英国,
Environ Sci Tech Let,Environmental Science & Technology Letters,3696,7.678,0.01179,Q1,121,美国,
Acta Mater,ACTA MATERIALIA,81679,7.656,0.09224,Q1,720,美国,双月刊
Am J Bioethics,AMERICAN JOURNAL OF BIOETHICS,2397,7.647,0.00366,Q1,24,美国,月刊
Nutr Res Rev,NUTRITION RESEARCH REVIEWS,2623,7.641,0.00219,Q1,19,英国,半年刊
Csh Perspect Biol,Cold Spring Harbor Perspectives in Biology,17373,7.64,0.03478,Q1,92,美国,
Compos Part B-Eng,COMPOSITES PART B-ENGINEERING,37998,7.635,0.04542,Q1,1526,英国,双月刊
Crit Rev Biochem Mol,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,3676,7.634,0.00635,Q1,26,美国,双月刊
ACS Sustain Chem Eng,ACS Sustainable Chemistry & Engineering,41078,7.632,0.07743,Q1,2119,美国,
J Bus Venturing,JOURNAL OF BUSINESS VENTURING,12662,7.59,0.00806,Q1,48,,
Environ Int,ENVIRONMENT INTERNATIONAL,29467,7.577,0.03779,Q1,864,美国,双月刊
J Aller Cl Imm-Pract,Journal of Allergy and Clinical Immunology-In Practice,5946,7.574,0.01812,Q1,243,荷兰,
Part Fibre Toxicol,Particle and Fibre Toxicology,4427,7.546,0.00516,Q1,44,英国,不定期
Adv Catal,Advances in Catalysis,1510,7.545,0.00049,Q1,0,美国,年刊
Bioresource Technol,BIORESOURCE TECHNOLOGY,131781,7.539,0.1083,Q1,1613,荷兰,双月刊
Sol Rrl,Solar RRL,2406,7.527,0.00573,Q1,208,,
Acad Manage J,ACADEMY OF MANAGEMENT JOURNAL,40818,7.525,0.02872,Q1,73,,
Diabetologia,DIABETOLOGIA,31115,7.518,0.04075,Q1,217,德国,月刊
Aliment Pharm Ther,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,21233,7.515,0.03289,Q1,226,英国,双月刊
IEEE T Ind Electron,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,64150,7.515,0.10505,Q1,952,美国,双月刊
IEEE T Affect Comput,IEEE Transactions on Affective Computing,2375,7.512,0.00314,Q1,42,美国,
Neuropath Appl Neuro,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,3992,7.5,0.00597,Q1,42,英国,双月刊
EMBO Rep,EMBO REPORTS,14976,7.497,0.03027,Q1,149,英国,月刊
Nanophotonics-Berlin,Nanophotonics,2940,7.491,0.00842,Q1,170,德国,
J Colloid Interf Sci,JOURNAL OF COLLOID AND INTERFACE SCIENCE,80900,7.489,0.05846,Q1,1452,美国,双月刊
Semin Immunopathol,Seminars in Immunopathology,3734,7.48,0.00669,Q1,60,,
IEEE Contr Syst Mag,IEEE CONTROL SYSTEMS MAGAZINE,3980,7.471,0.00454,Q1,18,美国,双月刊
J Stroke,Journal of Stroke,1247,7.47,0.00424,Q1,28,韩国,
Topics Curr Chem,Topics in Current Chemistry,6313,7.455,0.00884,Q1,37,,
IEEE T Sustain Energ,IEEE Transactions on Sustainable Energy,10001,7.44,0.02162,Q1,213,美国,
Tourism Manage,TOURISM MANAGEMENT,25990,7.432,0.01421,Q1,232,,
Crit Care Med,CRITICAL CARE MEDICINE,40141,7.414,0.05192,Q1,305,美国,月刊
Adv Healthc Mater,Advanced Healthcare Materials,11883,7.367,0.02756,Q1,297,德国,双月刊
BBA-Rev Cancer,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,5650,7.365,0.0078,Q1,64,荷兰,季刊
Cancer Lett,CANCER LETTERS,34162,7.36,0.04447,Q1,426,荷兰,双周刊
Crit Rev Microbiol,CRITICAL REVIEWS IN MICROBIOLOGY,3012,7.349,0.00451,Q1,41,美国,季刊
Endoscopy,ENDOSCOPY,10838,7.341,0.01564,Q1,106,德国,月刊
Am J Transplant,AMERICAN JOURNAL OF TRANSPLANTATION,25598,7.338,0.04624,Q1,302,丹麦,月刊
ACS Sensors,ACS Sensors,6209,7.333,0.0158,Q1,397,,
Cardiovasc Diabetol,Cardiovascular Diabetology,6179,7.332,0.01139,Q1,160,英国,不定期
J Occup Health Psych,Journal of Occupational Health Psychology,4468,7.329,0.00571,Q1,44,,
Drug Discov Today,DRUG DISCOVERY TODAY,15022,7.321,0.02072,Q1,243,英国,半月刊
ISPRS J Photogramm,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,13946,7.319,0.02225,Q1,218,荷兰,季刊
Obes Rev,Obesity Reviews,12534,7.31,0.02033,Q1,140,英国,双月刊
Virtual Phys Prototy,Virtual and Physical Prototyping,1294,7.31,0.0021,Q1,34,,
Polym Rev,Polymer Reviews,2229,7.304,0.00204,Q1,19,美国,季刊
Clin Chem,CLINICAL CHEMISTRY,27048,7.292,0.0203,Q1,119,美国,月刊
Curr Opin Immunol,CURRENT OPINION IN IMMUNOLOGY,9628,7.29,0.01688,Q1,90,英国,双月刊
npj Quantum Inform,npj Quantum Information,1505,7.286,0.0077,Q1,111,,
Eur J Cancer,EUROPEAN JOURNAL OF CANCER,32241,7.275,0.04824,Q1,283,英国,双月刊
Adv Nutr,Advances in Nutrition,6142,7.265,0.01179,Q1,128,美国,
Metab Eng,METABOLIC ENGINEERING,8068,7.263,0.01606,Q1,125,美国,季刊
J Clean Prod,JOURNAL OF CLEANER PRODUCTION,104138,7.246,0.1291,Q1,4059,美国,双月刊
Forbes,FORBES,3694,7.245,0.01264,Q1,55,,
Annu Rev Genom Hum G,Annual Review of Genomics and Human Genetics,2679,7.243,0.00519,Q1,22,美国,年刊
Acta Biomater,Acta Biomaterialia,39268,7.242,0.05075,Q1,639,英国,双月刊
Aging Cell,AGING CELL,10094,7.238,0.01836,Q1,165,英国,双月刊
J Energy Chem,Journal of Energy Chemistry,5057,7.216,0.00796,Q1,270,中国,
Physiology,PHYSIOLOGY,3583,7.212,0.00538,Q1,33,美国,双月刊
Neurobiol Stress,Neurobiology of Stress,1055,7.197,0.00384,Q1,56,,
Pattern Recogn,PATTERN RECOGNITION,28857,7.196,0.03391,Q1,372,英国,月刊
Prog Quant Electron,PROGRESS IN QUANTUM ELECTRONICS,1246,7.19,0.00131,Q1,9,英国,双月刊
Stroke,STROKE,66466,7.19,0.07808,Q1,550,美国,月刊
J Membrane Sci,JOURNAL OF MEMBRANE SCIENCE,73533,7.183,0.05603,Q1,838,荷兰,双月刊
Carbohyd Polym,CARBOHYDRATE POLYMERS,79342,7.182,0.07133,Q1,1208,英国,双月刊
J Invest Dermatol,JOURNAL OF INVESTIGATIVE DERMATOLOGY,30375,7.143,0.03418,Q1,218,美国,月刊
2D Mater,2D Materials,6616,7.14,0.02531,Q1,220,英国,
Adv Parasit,Advances in Parasitology,2212,7.137,0.00329,Q1,25,美国,不定期
Harvard Law Rev,HARVARD LAW REVIEW,6511,7.136,0.00591,Q1,33,,
Prog Surf Sci,PROGRESS IN SURFACE SCIENCE,1907,7.136,0.00166,Q1,5,美国,月刊
Eur J Epidemiol,EUROPEAN JOURNAL OF EPIDEMIOLOGY,8883,7.135,0.01948,Q1,106,荷兰,月刊
Clin Microbiol Infec,CLINICAL MICROBIOLOGY AND INFECTION,19393,7.117,0.03806,Q1,256,英国,月刊
