期刊缩写,Journal,JCR分区,2019年文章数,出版国家,出版周期
J Heart Lung Transpl,Journal of Heart and Lung Transplantation,Q1,113,美国,月刊
Serv Sci,Service Science,Q4,17,,
J Healthc Eng,Journal of Healthcare Engineering,Q3,127,英国,
J Petrol,Journal of Petrology,Q1,51,英国,月刊
Asian Pac J Allergy,Asian Pacific Journal of Allergy and Immunology,Q4,34,泰国,半年刊
J Geophys Res-Planet,Journal of Geophysical Research-Planets,Q1,179,,
Appl Nurs Res,Applied Nursing Research,Q2,78,美国,季刊
Environ Plan C-Polit,Environment and Planning C-Politics and Space,Q2,76,,
Inflamm Bowel Dis,Inflammatory Bowel Diseases,Q2,212,美国,月刊
Int J Implant Dent,International Journal of Implant Dentistry,Q2,45,,
J Chem Ecol,Journal of Chemical Ecology,Q2/Q3,95,荷兰,月刊
Leiden J Int Law,Leiden Journal of International Law,Q3,40,,
Environ Sci-Wat Res,Environmental Science-Water Research & Technology,Q1/Q2,185,英国,
Prog Biochem Biophys,Progress in Biochemistry and Biophysics,Q4,110,中国,月刊
Soc Choice Welfare,Social Choice and Welfare,Q3/Q4,60,,
Mem I Oswaldo Cruz,Memorias Do Instituto Oswaldo Cruz,Q2,83,巴西,双月刊
Curr Opin Colloid in,Current Opinion in Colloid & Interface Science,Q1,82,英国,双月刊
Fly,Fly,Q4,5,美国,双月刊
Acta Cytol,Acta Cytologica,Q4,56,美国,双月刊
World Trade Rev,World Trade Review,Q2,33,,
Retina-J Ret Vit Dis,Retina-the Journal of Retinal and Vitreous Diseases,Q1,317,美国,月刊
Ima J Numer Anal,Ima Journal of Numerical Analysis,Q1,73,英国,季刊
Pharmacol Res,Pharmacological Research,Q1,361,英国,月刊
J Neurosurg-Pediatr,Journal of Neurosurgery-Pediatrics,Q2/Q3,180,美国,月刊
Defence Peace Econ,Defence and Peace Economics,Q3,52,,
Eur J Psychotraumato,European Journal of Psychotraumatology,Q1,122,,
Opto-Electron Rev,Opto-Electronics Review,Q3,44,波兰,季刊
Behav Sleep Med,Behavioral Sleep Medicine,Q3,69,美国,季刊
J Fam Issues,Journal of Family Issues,Q3,121,,
Adv Appl Mech,Advances in Applied Mechanics,Q1,3,美国,年刊
Eur J Hortic Sci,European Journal of Horticultural Science,Q2,42,德国,双月刊
Endocrinol Metab,Endocrinology and Metabolism,Q2,44,,
Kidney Dis-Basel,Kidney Diseases,Q2,33,,
Am J Crim Justice,American Journal of Criminal Justice,Q3,47,,
J Spec Pediatr Nurs,Journal for Specialists in Pediatric Nursing,Q3/Q4,25,美国,季刊
IEEE T Comput Aid D,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,Q3,174,美国,月刊
Drug Discov Today,Drug Discovery Today,Q1,243,英国,半月刊
IBM J Res Dev,IBM Journal of Research and Development,Q3/Q4,36,美国,双月刊
Curr Opin Psychol,Current Opinion in Psychology,Q1,192,,
Planet Space Sci,Planetary and Space Science,Q3,134,美国,月刊
Int J Des,International Journal of Design,Q2/Q3,18,中国台湾,
ACM T Intel Syst Tec,ACM Transactions on Intelligent Systems and Technology,Q2,69,美国,
Combinatorica,Combinatorica,Q2,63,德国,季刊
Acta Acust United Ac,Acta Acustica United With Acustica,Q4,126,德国,双月刊
Semin Thorac Cardiov,Seminars in Thoracic and Cardiovascular Surgery,Q3,113,,
Int J Clin Exp Med,International Journal of Clinical and Experimental Medicine,Q4,1695,美国,月刊
Ulus Travma Acil Cer,Ulusal Travma Ve Acil Cerrahi Dergisi-Turkish Journal of Trauma & Emergency Surgery,Q4,104,土耳其,季刊
J Clin Pathol,Journal of Clinical Pathology,Q2,129,英国,月刊
IEEE Ind Electron M,IEEE Industrial Electronics Magazine,Q1,20,美国,季刊
Asian J Wto Int Heal,Asian Journal of Wto & International Health Law and Policy,Q4,15,,
Int J Doc Anal Recog,International Journal on Document Analysis and Recognition,Q3,28,德国,季刊
Cardiovasc Ultrasoun,Cardiovascular Ultrasound,Q3,32,英国,月刊
Bauphysik,Bauphysik,Q4,34,德国,双月刊
Metroeconomica,Metroeconomica,Q3,39,,
Softw Test Verif Rel,Software Testing Verification & Reliability,Q3,12,英国,季刊
Z Phys Chem,Zeitschrift Fur Physikalische Chemie-International Journal of Research in Physical Chemistry & Chemical Physics,Q3,92,德国,月刊
Econ Gov,Economics of Governance,Q4,16,,
Ann Anat,Annals of Anatomy-Anatomischer Anzeiger,Q1,102,德国,双月刊
J Theor Nombr Bordx,Journal de Theorie Des Nombres de Bordeaux,Q4,27,法国,
J Econ Hist,Journal of Economic History,Q1/Q2,22,,
Tech Phys+,Technical Physics,Q4,307,俄国,月刊
Nonprofit Manag Lead,Nonprofit Management & Leadership,Q3,37,,
Am J Ophthalmol,American Journal of Ophthalmology,Q1,296,美国,月刊
Crit Arts,Critical Arts-South-North Cultural and Media Studies,Q4,16,,
OTJR-Occup Part Heal,OTJR-Occupation Participation and Health,Q3,29,,
Clin Colon Rect Surg,Clinics in Colon and Rectal Surgery,Q3/Q4,59,美国,
Arq Bras Med Vet Zoo,Arquivo Brasileiro de Medicina Veterinaria E Zootecnia,Q4,273,巴西,双月刊
J Clin Anesth,Journal of Clinical Anesthesia,Q1,63,美国,双月刊
Surv Res Methods-Ger,Survey Research Methods,Q3,19,,
Curr Opin Struc Biol,Current Opinion in Structural Biology,Q1,153,英国,双月刊
Curr Urol Rep,Current Urology Reports,Q2,84,美国,
Int J Comp Meth-Sing,International Journal of Computational Methods,Q2/Q3,115,新加坡,季刊
Society,Society,Q4,59,,
Int Arch Occ Env Hea,International Archives of Occupational and Environmental Health,Q3,105,德国,双月刊
Int J Pept Res Ther,International Journal of Peptide Research and Therapeutics,Q4,159,美国,季刊
J Legal Anal,Journal of Legal Analysis,Q1,4,,
Cytom Part A,Cytometry Part A,Q2/Q3,102,美国,月刊
Nord J Music Ther,Nordic Journal of Music Therapy,Q4,24,,
Stud Contin Educ,Studies in Continuing Education,Q3,22,,
Biol Direct,Biology Direct,Q2,23,英国,不定期
Front Surg,Frontiers in Surgery,Q3,67,,
Forktail,Forktail,Q4,0,英国,
Minerva Med,Minerva Medica,Q1,50,意大利,双月刊
Chelonian Conserv Bi,Chelonian Conservation and Biology,Q3,33,美国,半年刊
J Comput Financ,Journal of Computational Finance,Q4,20,,
Anthropol South Afr,Anthropology Southern Africa,Q3,18,,
Biodata Min,Biodata Mining,Q1,19,英国,
Horm-Int J Endocrino,Hormones-International Journal of Endocrinology and Metabolism,Q4,59,希腊,季刊
Oil Gas-Eur Mag,Oil Gas-European Magazine,Q4,35,德国,季刊
Image Anal Stereol,Image Analysis & Stereology,Q4,24,斯洛文尼亚,
Telemat Inform,Telematics and Informatics,Q1,98,,
J Ger Linguist,Journal of Germanic Linguistics,Q4,8,,
J Adhes Sci Technol,Journal of Adhesion Science and Technology,Q3/Q4,162,荷兰,月刊
J Empir Legal Stud,Journal of Empirical Legal Studies,Q2,30,,
Fortschr Neurol Psyc,Fortschritte Der Neurologie Psychiatrie,Q4,60,德国,月刊
J Mammal,Journal of Mammalogy,Q1,147,美国,双月刊
J Cancer Res Clin,Journal of Cancer Research and Clinical Oncology,Q2,276,德国,月刊
Electron Mater Lett,Electronic Materials Letters,Q3,88,韩国,季刊
Ther Adv Drug Saf,Therapeutic Advances in Drug Safety,Q2,46,,
Kinemat Phys Celest+,Kinematics and Physics of Celestial Bodies,Q4,26,乌克兰,双月刊
J Money Credit Bank,Journal of Money Credit and Banking,Q3,70,,
Zbl Chir,Zentralblatt Fur Chirurgie,Q4,61,德国,月刊
J Foot Ankle Surg,Journal of Foot & Ankle Surgery,Q4,231,美国,双月刊
Front Integr Neurosc,Frontiers in Integrative Neuroscience,Q3/Q4,64,,
J Clin Pediatr Dent,Journal of Clinical Pediatric Dentistry,Q4,36,美国,季刊
J Ovonic Res,Journal of Ovonic Research,Q4,46,罗马尼亚,
Rev Etud Comp Est-O,Revue D Etudes Comparatives Est-Ouest,Q4,14,,
Gene Chromosome Canc,Genes Chromosomes & Cancer,Q2,93,美国,月刊
J Linguist Anthropol,Journal of Linguistic Anthropology,Q2/Q3,29,,
Middle East Policy,Middle East Policy,Q3/Q4,39,,
Ann Glob Anal Geom,Annals of Global Analysis and Geometry,Q2,69,荷兰,双月刊
Genome Res,Genome Research,Q1,180,美国,月刊
Nat Geosci,Nature Geoscience,Q1,154,英国,月刊
Zemdirbyste,Zemdirbyste-Agriculture,Q3,48,立陶宛,季刊
Policy Sci,Policy Sciences,Q1,27,,
J Homosexual,Journal of Homosexuality,Q2,95,,
Neurosurg Focus,Neurosurgical Focus,Q1/Q2,186,美国,不定期
Arct Antarct Alp Res,Arctic Antarctic and Alpine Research,Q3,37,美国,季刊
Palaeogeogr Palaeocl,Palaeogeography Palaeoclimatology Palaeoecology,Q1/Q2,441,荷兰,半月刊
Front Bioeng Biotech,Frontiers in Bioengineering and Biotechnology,Q2,419,,
Russ J Mar Biol+,Russian Journal of Marine Biology,Q4,65,,
J Appl Genet,Journal of Applied Genetics,Q3,48,波兰,季刊
Nutr Res Rev,Nutrition Research Reviews,Q1,19,英国,半年刊
Theor Math Phys+,Theoretical and Mathematical Physics,Q4,125,俄国,月刊
Log Universalis,Logica Universalis,Q2,31,,
J Hydrol-Reg Stud,Journal of Hydrology-Regional Studies,Q1,63,,
China Int J,China-An International Journal,Q4,40,,
Stanford J Int Law,Stanford Journal of International Law,Q3/Q4,6,,
Astron J,Astronomical Journal,Q1,498,美国,月刊
Text Res J,Textile Research Journal,Q1,433,美国,双月刊
Surg Radiol Anat,Surgical and Radiologic Anatomy,Q4,195,法国,
Ecography,Ecography,Q1,186,丹麦,双月刊
Stud Second Lang Acq,Studies in Second Language Acquisition,Q1,44,,
Bioengineered,Bioengineered,Q3,60,美国,
J Cult Econ,Journal of Cultural Economics,Q2,24,,
Int J Legal Med,International Journal of Legal Medicine,Q1,225,德国,双月刊
Global Nest J,Global Nest Journal,Q4,69,希腊,三年刊
Eur J Oper Res,European Journal of Operational Research,Q1,656,荷兰,双月刊
Int J Phytoremediat,International Journal of Phytoremediation,Q2,162,美国,季刊
Health Care Manag Sc,Health Care Management Science,Q2,44,,
IEEE T Contr Syst T,IEEE Transactions on Control Systems Technology,Q1,249,美国,双月刊
J Heat Trans-T Asme,Journal of Heat Transfer-Transactions of the Asme,Q3,207,美国,月刊
Int Rev Law Econ,International Review of Law and Economics,Q3/Q4,47,,
Singap Med J,Singapore Medical Journal,Q3,91,新加坡,月刊
Mech Mach Theory,Mechanism and Machine Theory,Q1,330,英国,月刊
Phys Scripta,Physica Scripta,Q2,532,瑞典,月刊
Clin Transl Immunol,Clinical & Translational Immunology,Q1,38,,
Commun Math Phys,Communications in Mathematical Physics,Q1,240,德国,双月刊
Geosci Can,Geoscience Canada,Q4,3,加拿大,季刊
J Adolescent Health,Journal of Adolescent Health,Q1,216,美国,月刊
J Plant Pathol,Journal of Plant Pathology,Q3,113,意大利,三年刊
Inform Retrieval J,Information Retrieval Journal,Q3,21,荷兰,双月刊
Bothalia,Bothalia,Q2,34,南非,半年刊
Jpn J Appl Entomol Z,Japanese Journal of Applied Entomology and Zoology,Q4,20,日本,季刊
Electron J Differ Eq,Electronic Journal of Differential Equations,Q2/Q3,131,美国,
J Aerospace Eng,Journal of Aerospace Engineering,Q2/Q3,158,美国,季刊
BBA-Gene Regul Mech,Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,Q1/Q2,108,荷兰,月刊
J Cerebr Blood F Met,Journal of Cerebral Blood Flow and Metabolism,Q1,186,美国,月刊
J Aquat Plant Manage,Journal of Aquatic Plant Management,Q4,14,美国,半年刊
Anim Conserv,Animal Conservation,Q1/Q2,47,美国,双月刊
BMC Surg,BMC Surgery,Q2,211,英国,
Orthop Nurs,Orthopaedic Nursing,Q3/Q4,42,美国,双月刊
Aggressive Behav,Aggressive Behavior,Q2/Q3,62,美国,双月刊
J Urban Health,Journal of Urban Health-Bulletin of the New York Academy of Medicine,Q2,83,美国,季刊
Icsid Rev,Icsid Review-Foreign Investment Law Journal,Q4,8,,
Archaeol Ocean,Archaeology in Oceania,Q2,14,,
Environmetrics,Environmetrics,Q3/Q4,49,英国,双月刊
Msphere,Msphere,Q1,287,,
J Opt Commun Netw,Journal of Optical Communications and Networking,Q1/Q2,94,美国,月刊
Rev Aquacult,Reviews in Aquaculture,Q1,74,澳大利亚,
Rev Chil Hist Nat,Revista Chilena de Historia Natural,Q3,7,智利,季刊
J Drugs Dermatol,Journal of Drugs in Dermatology,Q3,176,美国,月刊
J Clin Lipidol,Journal of Clinical Lipidology,Q1,99,美国,双月刊
J Perinatol,Journal of Perinatology,Q2/Q3,202,美国,月刊
Pure Appl Chem,Pure and Applied Chemistry,Q3,144,,
Clin Res Hepatol Gas,Clinics and Research in Hepatology and Gastroenterology,Q3,91,法国,
Pathologe,Pathologe,Q4,102,美国,双月刊
Environ Hist-US,Environmental History,Q2/Q4,26,,
J Res Pers,Journal of Research in Personality,Q1,112,,
Creat Innov Manag,Creativity and Innovation Management,Q3,29,,
Dermatol Clin,Dermatologic Clinics,Q1,57,美国,季刊
Appl Mater Today,Applied Materials Today,Q1,143,,
Geomicrobiol J,Geomicrobiology Journal,Q3,91,美国,双月刊
SAJP-S Afr J Psychi,South African Journal of Psychiatry,Q4,32,南非,季刊
Curr Opin Insect Sci,Current Opinion in Insect Science,Q1,117,荷兰,
J Seed Sci,Journal of Seed Science,Q4,51,,
Q Appl Math,Quarterly of Applied Mathematics,Q3,33,美国,季刊
Appl Biol Chem,Applied Biological Chemistry,Q3,71,,
Psychiat Clin Neuros,Psychiatry and Clinical Neurosciences,Q2,76,日本,双月刊
J Math Log,Journal of Mathematical Logic,Q1,13,新加坡,半年刊
Iran J Fuzzy Syst,Iranian Journal of Fuzzy Systems,Q1,84,伊朗,三年刊
J Recept Sig Transd,Journal of Receptors and Signal Transduction,Q4,46,美国,季刊
J Theor Polit,Journal of Theoretical Politics,Q3,25,,
Biotechnol Genet Eng,Biotechnology & Genetic Engineering Reviews,Q1,4,英国,年刊
Rev Neurologia,Revista de Neurologia,Q4,126,西班牙,双月刊
Rev Mex Astron Astr,Revista Mexicana de Astronomia Y Astrofisica,Q2,33,墨西哥,半年刊
Labor Hist-UK,Labor History,Q2/Q4,46,,
Pac J Math,Pacific Journal of Mathematics,Q3,140,美国,月刊
Real Estate Econ,Real Estate Economics,Q2/Q3,30,,
Clin Geriatr Med,Clinics in Geriatric Medicine,Q2,46,美国,季刊
Theor Appl Categ,Theory and Applications of Categories,Q4,46,加拿大,
Polyhedron,Polyhedron,Q2,719,英国,双周刊
Annu Rev Biomed Eng,Annual Review of Biomedical Engineering,Q1,21,美国,年刊
Expert Syst Appl,Expert Systems With Applications,Q1,710,美国,双月刊
J Sex Marital Ther,Journal of Sex & Marital Therapy,Q2/Q3,67,,
Ecol Process,Ecological Processes,Q3,44,,
Oceanography,Oceanography,Q1,73,美国,季刊
Account Org Soc,Accounting Organizations and Society,Q1,37,,
Numer Func Anal Opt,Numerical Functional Analysis and Optimization,Q3,95,美国,双月刊
J Serv Mark,Journal of Services Marketing,Q2,71,,
J Neurovirol,Journal of Neurovirology,Q3,95,美国,双月刊
World J Urol,World Journal of Urology,Q2,284,美国,季刊
Lond J,London Journal,Q4,12,,
Russ J Theriol,Russian Journal of Theriology,Q4,16,,
Stat Med,Statistics in Medicine,Q2/Q3/Q4,355,英国,双月刊
Avian Dis,Avian Diseases,Q2,91,美国,季刊
Aob Plants,Aob Plants,Q2,78,英国,
Int J Ship Trans Log,International Journal of Shipping and Transport Logistics,Q4,25,,
Inform Syst J,Information Systems Journal,Q1,42,,
Allergy,Allergy,Q1,189,英国,月刊
It Prof,It Professional,Q1/Q2,51,美国,
Tectonics,Tectonics,Q1,180,美国,双月刊
ACM J Emerg Tech Com,ACM Journal on Emerging Technologies in Computing Systems,Q3/Q4,28,美国,季刊
J Exerc Sci Fit,Journal of Exercise Science & Fitness,Q4,17,中国,半年刊
IEEE T Wirel Commun,IEEE Transactions on Wireless Communications,Q1,418,美国,月刊
Database-Oxford,Database-the Journal of Biological Databases and Curation,Q2,130,英国,
Mol Cell Biol,Molecular and Cellular Biology,Q2/Q3,111,美国,双月刊
Qual Res,Qualitative Research,Q1,43,,
Int Surg,International Surgery,Q4,14,美国,季刊
Int J Aerosp Psychol,International Journal of Aerospace Psychology,Q4,9,,
Nonlinearity,Nonlinearity,Q2,170,英国,月刊
Weed Sci,Weed Science,Q1/Q2,68,美国,季刊
Parkinsonism Relat D,Parkinsonism & Related Disorders,Q1,361,英国,季刊
Med Care,Medical Care,Q1/Q2,190,美国,月刊
J Math Inequal,Journal of Mathematical Inequalities,Q1/Q2,88,克罗地亚,
Econ Policy,Economic Policy,Q1,7,,
Rev Fr Sociol,Revue Francaise de Sociologie,Q4,9,,
Parallel Comput,Parallel Computing,Q3,82,荷兰,月刊
J Neurochem,Journal of Neurochemistry,Q2,183,英国,半月刊
Nanotechnology,Nanotechnology,Q2,1004,英国,周刊
Homo,Homo-Journal of Comparative Human Biology,Q3,30,,
Arch Dis Child-Fetal,Archives of Disease in Childhood-Fetal and Neonatal Edition,Q1,102,美国,双月刊
Arch Endocrin Metab,Archives of Endocrinology Metabolism,Q4,82,,
Rev Manag Sci,Review of Managerial Science,Q2,43,,
Cell Struct Funct,Cell Structure and Function,Q3,17,日本,半年刊
Plant Biology,Plant Biology,Q2,142,德国,双月刊
J Neurosci Nurs,Journal of Neuroscience Nursing,Q3/Q4,52,美国,双月刊
New Left Rev,New Left Review,Q2,37,,
J Environ Manage,Journal of Environmental Management,Q1,1686,英国,双月刊
AIDS,AIDS,Q1/Q2,271,美国,双月刊
New Media Soc,New Media & Society,Q1,133,,
Big Data-US,Big Data,Q1/Q2,20,美国,
J Oper Res Soc,Journal of the Operational Research Society,Q2/Q3,154,英国,月刊
Commun Soil Sci Plan,Communications in Soil Science and Plant Analysis,Q4,213,美国,月刊
J Hortic Sci Biotech,Journal of Horticultural Science & Biotechnology,Q2,82,英国,双月刊
J Acad Libr,Journal of Academic Librarianship,Q3,80,,
IEEE T Commun,IEEE Transactions on Communications,Q1,629,美国,月刊
J Sport Med Phys Fit,Journal of Sports Medicine and Physical Fitness,Q4,271,意大利,季刊
E-Polymers,E-Polymers,Q3,65,法国,不定期
J Intellect Cap,Journal of Intellectual Capital,Q1,41,,
Clin Obstet Gynecol,Clinical Obstetrics and Gynecology,Q4,73,美国,季刊
Vet Mexico,Veterinaria Mexico,Q4,18,,
Austral Entomol,Austral Entomology,Q2,87,澳大利亚,
Aquat Mamm,Aquatic Mammals,Q4,60,美国,
Public Perform Manag,Public Performance & Management Review,Q3,59,,
Transl Lung Cancer R,Translational Lung Cancer Research,Q1,133,中国,双月刊
J Stroke,Journal of Stroke,Q1,28,韩国,
J East Asian Stud,Journal of East Asian Studies,Q3,17,,
Discrete Optim,Discrete Optimization,Q3/Q4,32,NETHERLANDS,季刊
Int Neurourol J,International Neurourology Journal,Q3,51,韩国,
Semin Liver Dis,Seminars in Liver Disease,Q2,43,美国,季刊
Civil Eng,Civil Engineering,Q4,44,美国,月刊
Riv Psichiatr,Rivista Di Psichiatria,Q4,33,意大利,双月刊
J Eur Ceram Soc,Journal of the European Ceramic Society,Q1,646,英国,双月刊
Nagoya Math J,Nagoya Mathematical Journal,Q3,22,日本,季刊
ACM T Internet Techn,ACM Transactions on Internet Technology,Q2/Q3,49,美国,季刊
Nuklearmed-Nucl Med,Nuklearmedizin-Nuclear Medicine,Q4,31,德国,双月刊
J Forensic Nurs,Journal of Forensic Nursing,Q4,28,美国,
Auk,Auk,Q1,50,美国,季刊
Thorac Cardiov Surg,Thoracic and Cardiovascular Surgeon,Q4,107,德国,双月刊
Prog Nutr,Progress in Nutrition,Q4,219,意大利,季刊
Res Nurs Health,Research in Nursing & Health,Q1,46,美国,双月刊
Nutr Diabetes,Nutrition & Diabetes,Q1,34,英国,
J Microbiol Meth,Journal of Microbiological Methods,Q4,216,荷兰,月刊
Clin Microbiol Rev,Clinical Microbiology Reviews,Q1,35,美国,季刊
Mech Mater,Mechanics of Materials,Q1/Q2,248,荷兰,月刊
Medicina-Buenos Aire,Medicina-Buenos Aires,Q4,108,阿根廷,双月刊
Med Decis Making,Medical Decision Making,Q2/Q3,88,美国,双月刊
J Fr Lang Stud,Journal of French Language Studies,Q4,18,,
J Forest Res-Jpn,Journal of Forest Research,Q3,43,日本,双月刊
J Cosmet Sci,Journal of Cosmetic Science,Q4,23,美国,双月刊
Fluid Dynam+,Fluid Dynamics,Q4,100,美国,双月刊
Asian Pac Migr J,Asian and Pacific Migration Journal,Q4,20,,
Hortic Sci,Horticultural Science,Q3,27,捷克共和国,季刊
Ref Serv Rev,Reference Services Review,Q4,32,,
J Biomed Semant,Journal of Biomedical Semantics,Q1,25,英国,
Random Matrices-Theo,Random Matrices-Theory and Applications,Q2/Q3,16,,
J Symplect Geom,Journal of Symplectic Geometry,Q3,36,美国,季刊
J Inst Math Jussieu,Journal of the Institute of Mathematics of Jussieu,Q1,35,英国,季刊
