Journal,IF(2021)
JOURNAL OF COMPUTATIONAL MATHEMATICS,1.129
JOURNAL OF VISUAL IMPAIRMENT & BLINDNESS,1.128
EQUINE VETERINARY EDUCATION,1.127
SOCIOLOGICAL SPECTRUM,1.127
Pigment & Resin Technology,1.126
JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,1.126
SOMATOSENSORY AND MOTOR RESEARCH,1.126
BRITISH JOURNAL OF GUIDANCE & COUNSELLING,1.125
JOURNAL OF FORENSIC PSYCHIATRY & PSYCHOLOGY,1.125
Infants & Young Children,1.125
BRITISH JOURNAL OF NEUROSURGERY,1.124
CAHIERS AGRICULTURES,1.123
ACTA SOCIETATIS BOTANICORUM POLONIAE,1.123
Revista da Escola de Enfermagem da USP,1.123
BIOLOGIA PLANTARUM,1.122
Longitudinal and Life Course Studies,1.122
Journal of Instrumentation,1.121
Asian Economic Journal,1.121
HIGH TEMPERATURE MATERIALS AND PROCESSES,1.121
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,1.121
NAGOYA MATHEMATICAL JOURNAL,1.121
FUTURE OF CHILDREN,1.12
Nigerian Journal of Clinical Practice,1.12
Journal of the Royal Army Medical Corps,1.12
Quantum Topology,1.12
ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,1.12
Journal of Investigative Psychology and Offender Profiling,1.119
COLLOID JOURNAL,1.119
REVIEW OF RELIGIOUS RESEARCH,1.119
Politics Religion & Ideology,1.119
REVISTA BRASILEIRA DE PALEONTOLOGIA,1.119
JOURNAL OF APPLIED PROBABILITY,1.116
ACOUSTICAL PHYSICS,1.116
Language Problems & Language Planning,1.115
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,1.115
JOURNAL OF NIPPON MEDICAL SCHOOL,1.115
Polish Journal of Chemical Technology,1.115
CANADIAN ENTOMOLOGIST,1.115
DIAGNOSTICA,1.114
EUROPEAN SURGICAL RESEARCH,1.114
Contemporary Southeast Asia,1.114
JOURNAL OF NEW MUSIC RESEARCH,1.113
Legal Studies,1.113
ACM Transactions on Algorithms,1.113
Rechtsmedizin,1.112
Mediterranean Botany,1.111
Philosophia Mathematica,1.111
Materials Express,1.111
JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS,1.111
Behavioral Psychology-Psicologia Conductual,1.111
JOURNAL OF COASTAL RESEARCH,1.11
BIOCELL,1.11
SCANDINAVIAN JOURNAL OF ECONOMICS,1.109
INTERDISCIPLINARY SCIENCE REVIEWS,1.109
HISTORY WORKSHOP JOURNAL,1.109
Zeitschrift fur Orthopadie und Unfallchirurgie,1.108
African Health Sciences,1.108
Physics of Wave Phenomena,1.108
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,1.108
Topics in Companion Animal Medicine,1.108
JOURNAL OF MARINE RESEARCH,1.107
Dermatologica Sinica,1.107
JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS,1.107
Journal of Spectral Theory,1.106
Advancements of Microbiology,1.106
POLITICAL THEORY,1.106
NETHERLANDS JOURNAL OF MEDICINE,1.105
Radioengineering,1.105
Vascular,1.105
JOURNAL OF THE JAPAN PETROLEUM INSTITUTE,1.105
JOURNAL OF VETERINARY MEDICAL SCIENCE,1.105
Journal of Applied Philosophy,1.104
Acta Endocrinologica-Bucharest,1.104
FIBRES & TEXTILES IN EASTERN EUROPE,1.104
Central European Journal of Energetic Materials,1.104
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,1.103
TEXAS HEART INSTITUTE JOURNAL,1.103
Advances in Differential Equations,1.103
Economics-The Open Access Open-Assessment E-Journal,1.103
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,1.103
PCI JOURNAL,1.103
PAKISTAN JOURNAL OF BOTANY,1.101
Kinesiology,1.101
FORMAL METHODS IN SYSTEM DESIGN,1.1
PESQUISA AGROPECUARIA BRASILEIRA,1.1
Social Analysis,1.1
JOURNAL OF THE SERBIAN CHEMICAL SOCIETY,1.1
RAE-Revista de Administracao de Empresas,1.1
Serbian Astronomical Journal,1.1
Letters in Drug Design & Discovery,1.099
Baltic Journal of Road and Bridge Engineering,1.099
Asian Economic Papers,1.098
Revista Brasileira de Anestesiologia,1.098
Proceedings of the Institution of Civil Engineers-Energy,1.097
PORTAL-LIBRARIES AND THE ACADEMY,1.097
JOURNAL OF CHEMICAL RESEARCH,1.097
Education and Treatment of Children,1.096
POTENTIAL ANALYSIS,1.096
Journal of Statistical Planning and Inference,1.095
JAPANESE PSYCHOLOGICAL RESEARCH,1.095
INSIGHT,1.095
WILDFOWL,1.094
GRAPHICAL MODELS,1.094
NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,1.094
OSTRICH,1.093
Journal of Corporate Law Studies,1.093
Advances in Astronomy,1.093
Contemporary South Asia,1.093
LASER AND PARTICLE BEAMS,1.093
MECHANICAL ENGINEERING,1.092
Membrane and Water Treatment,1.092
Indian Journal of Traditional Knowledge,1.091
MODELING IDENTIFICATION AND CONTROL,1.091
ACTA AMAZONICA,1.091
PROGRES EN UROLOGIE,1.09
International Journal of Microwave and Wireless Technologies,1.09
CHINESE JOURNAL OF CHEMICAL PHYSICS,1.09
ISRAEL JOURNAL OF MATHEMATICS,1.089
Journal of Logical and Algebraic Methods in Programming,1.088
GEOGRAPHY,1.088
PROCEEDINGS OF THE EDINBURGH MATHEMATICAL SOCIETY,1.088
JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,1.088
International Journal of Mental Health Promotion,1.086
COMBUSTION EXPLOSION AND SHOCK WAVES,1.085
ACTA MATHEMATICA SCIENTIA,1.085
IZVESTIYA-PHYSICS OF THE SOLID EARTH,1.084
JOURNAL OF COMPARATIVE PATHOLOGY,1.083
VETERINARY AND COMPARATIVE ORTHOPAEDICS AND TRAUMATOLOGY,1.083
Stratigraphy,1.083
HIGH TEMPERATURES-HIGH PRESSURES,1.082
Semiconductors and Semimetals,1.082
Target-International Journal of Translation Studies,1.081
Hokkaido Mathematical Journal,1.08
CHILD & FAMILY BEHAVIOR THERAPY,1.08
Radiophysics and Quantum Electronics,1.078
COMMUNICATIONS IN ANALYSIS AND GEOMETRY,1.078
Education and Training in Autism and Developmental Disabilities,1.078
ECONOMIC DEVELOPMENT QUARTERLY,1.077
Journal for the Study of Education and Development,1.077
TROPICAL ZOOLOGY,1.077
CANADIAN JOURNAL OF ANIMAL SCIENCE,1.077
Horticulture Journal,1.076
Acta Herpetologica,1.075
MODERN ASIAN STUDIES,1.075
Australian Journal of Adult Learning,1.075
CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE,1.075
CARNETS DE GEOLOGIE,1.075
EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,1.074
Journal de l Ecole Polytechnique-Mathematiques,1.074
COLUMBIA JOURNAL OF TRANSNATIONAL LAW,1.074
SPORTVERLETZUNG-SPORTSCHADEN,1.073
AUSTRALIAN JOURNAL OF ZOOLOGY,1.073
REHABILITATION,1.072
Acta Crystallographica Section F-Structural Biology Communications,1.072
International Journal of Optics,1.072
JOURNAL OF CONTINUING EDUCATION IN NURSING,1.071
TRANSACTIONS OF THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES,1.071
ASIA-PACIFIC JOURNAL OF OPERATIONAL RESEARCH,1.07
QUARTERLY OF APPLIED MATHEMATICS,1.069
Biologia Futura,1.069
Early Years,1.069
QUANTUM INFORMATION & COMPUTATION,1.069
ANIMAL BIODIVERSITY AND CONSERVATION,1.069
Nonlinear Dynamics Psychology and Life Sciences,1.068
Nationalities Papers-The Journal of Nationalism and Ethnicity,1.067
Science of Advanced Materials,1.067
Language Variation and Change,1.067
INTERVENTION IN SCHOOL AND CLINIC,1.067
GEOLOGICA ACTA,1.067
Journal of Development Effectiveness,1.067
QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS,1.067
Noropsikiyatri Arsivi-Archives of Neuropsychiatry,1.066
ERGODIC THEORY AND DYNAMICAL SYSTEMS,1.066
Progress in Transplantation,1.065
Postepy w Kardiologii Interwencyjnej,1.065
APPLIED BIOCHEMISTRY AND MICROBIOLOGY,1.065
Journal of Social Philosophy,1.063
PHARMACEUTICAL CHEMISTRY JOURNAL,1.063
MANCHESTER SCHOOL,1.063
JOURNAL OF THE POLYNESIAN SOCIETY,1.063
Glossa-A Journal of General Linguistics,1.063
Algebra & Number Theory,1.061
BLOOD COAGULATION & FIBRINOLYSIS,1.061
NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS,1.061
REVISTA MEXICANA DE CIENCIAS GEOLOGICAS,1.061
GEOCHEMICAL JOURNAL,1.06
MINERVA CHIRURGICA,1.06
ADVANCES IN APPLIED PROBABILITY,1.06
CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION,1.059
INDIANA UNIVERSITY MATHEMATICS JOURNAL,1.059
Elektronika Ir Elektrotechnika,1.059
AMERICAN JOURNAL OF PSYCHOLOGY,1.059
Journal of the Faculty of Engineering and Architecture of Gazi University,1.059
Journal of Gemmology,1.059
International Journal on Artificial Intelligence Tools,1.059
BELGIAN JOURNAL OF ZOOLOGY,1.059
Gynecologie Obstetrique Fertilite & Senologie,1.058
JOURNAL OF LATIN AMERICAN STUDIES,1.058
TENSIDE SURFACTANTS DETERGENTS,1.058
MEDYCYNA PRACY,1.058
RANDOM STRUCTURES & ALGORITHMS,1.057
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,1.056
Journal of the Australian Library and Information Association,1.055
AMERICAN JOURNAL OF VETERINARY RESEARCH,1.055
Bradleya,1.054
JOURNAL OF INDUSTRIAL ECONOMICS,1.054
Clinical Laboratory,1.053
HERPETOZOA,1.053
Memory Studies,1.053
ANAESTHESIST,1.052
PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,1.052
Aerospace Medicine and Human Performance,1.051
Landbauforschung-Journal of Sustainable and Organic Agricultural Systems,1.051
Canadian Journal of Chemistry,1.051
Phytotaxa,1.05
ANNALES ZOOLOGICI FENNICI,1.05
REVISTA BRASILEIRA DE ENTOMOLOGIA,1.048
INFOR,1.047
OPTICAL REVIEW,1.047
Russian Journal of Pacific Geology,1.047
Physicochemical Problems of Mineral Processing,1.047
LATIN AMERICAN PERSPECTIVES,1.047
Vascular and Endovascular Surgery,1.046
JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,1.046
China Foundry,1.045
All Life,1.044
PROGRESS IN CHEMISTRY,1.044
Journal of the South African Veterinary Association,1.044
Earth Sciences Research Journal,1.043
ANTI-CORROSION METHODS AND MATERIALS,1.043
Archives of Acoustics,1.043
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,1.043
Ocean Science Journal,1.042
Applied Economic Analysis,1.042
NEUES JAHRBUCH FUR GEOLOGIE UND PALAONTOLOGIE-ABHANDLUNGEN,1.042
INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION,1.042
ELECTROMAGNETICS,1.042
Expert Opinion on Orphan Drugs,1.041
Logopedics Phoniatrics Vocology,1.041
Journal of Mineralogical and Petrological Sciences,1.041
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA-CLASSE DI SCIENZE,1.041
SCANDINAVIAN JOURNAL OF STATISTICS,1.04
Annals of Combinatorics,1.04
Physiotherapy Canada,1.039
SCIENCE OF COMPUTER PROGRAMMING,1.039
Sequential Analysis-Design Methods and Applications,1.038
JOURNAL OF INSECT BEHAVIOR,1.038
COMMENTARII MATHEMATICI HELVETICI,1.038
International Journal of Evidence & Proof,1.037
HISTORY OF SCIENCE,1.037
SWISS JOURNAL OF PSYCHOLOGY,1.037
CANADIAN METALLURGICAL QUARTERLY,1.037
BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,1.036
ECONOMIC RECORD,1.034
MATERIALWISSENSCHAFT UND WERKSTOFFTECHNIK,1.034
Indian Journal of Orthopaedics,1.033
Recht & Psychiatrie,1.033
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,1.033
Analysis and Geometry in Metric Spaces,1.033
HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,1.033
Rendiconti Lincei-Matematica e Applicazioni,1.033
CHILDRENS HEALTH CARE,1.032
BULLETIN DES SCIENCES MATHEMATIQUES,1.032
Dynamics of Partial Differential Equations,1.032
STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,1.032
Emirates Journal of Food and Agriculture,1.031
Nature + Culture,1.031
JOURNAL OF HISTORICAL GEOGRAPHY,1.031
AI COMMUNICATIONS,1.029
JOURNAL OF SWINE HEALTH AND PRODUCTION,1.029
Discussiones Mathematicae Graph Theory,1.028
Journal for Healthcare Quality,1.028
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,1.027
MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY,1.027
CIRCUIT WORLD,1.027
ORNIS FENNICA,1.027
CYTOLOGIA,1.027
Acta Paulista de Enfermagem,1.027
Iberica,1.027
ZOOTAXA,1.026
Exploration Geophysics,1.026
JOURNAL OF LABOR RESEARCH,1.026
INDUSTRIAL LAW JOURNAL,1.025
Radiation Effects and Defects in Solids,1.024
Proceedings of the Estonian Academy of Sciences,1.024
Empirica,1.024
HASTINGS LAW JOURNAL,1.024
CONTEMPORARY PACIFIC,1.024
SYSTEMATIC PARASITOLOGY,1.023
POLYMER SCIENCE SERIES B,1.023
ENGINEERING ECONOMIST,1.023
CARDIOLOGY IN THE YOUNG,1.023
Astrophysical Bulletin,1.022
IRANIAN JOURNAL OF FISHERIES SCIENCES,1.022
Latin American Journal of Aquatic Research,1.022
JCPSP-Journal of the College of Physicians and Surgeons Pakistan,1.022
TUEXENIA,1.022
ITALIAN JOURNAL OF FOOD SCIENCE,1.021
KOEDOE,1.021
Subterranean Biology,1.021
INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,1.02
JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,1.02
ACTA BOTANICA CROATICA,1.02
Brazilian Journal of Poultry Science,1.019
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,1.019
CHINESE JOURNAL OF ELECTRONICS,1.019
Journal of Minimal Access Surgery,1.018
English Language & Linguistics,1.018
Asian Biomedicine,1.017
FRONTIERS-A JOURNAL OF WOMEN STUDIES,1.017
NEW ZEALAND JOURNAL OF BOTANY,1.016
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,1.016
Journal of Nonlinear and Convex Analysis,1.016
Advances in Mathematics of Communications,1.015
TRANSPLANTATION PROCEEDINGS,1.014
MATHEMATICAL INEQUALITIES & APPLICATIONS,1.014
International Journal of Diabetes in Developing Countries,1.013
Journal of Theoretical and Computational Acoustics,1.013
JOURNAL OF NONPARAMETRIC STATISTICS,1.012
COMPUTER ANIMATION AND VIRTUAL WORLDS,1.01
Cerne,1.01
CERAMICS-SILIKATY,1.01
Metrology and Measurement Systems,1.009
Contemporary Political Theory,1.009
Revista Matematica Complutense,1.009
Archives of Rheumatology,1.007
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,1.007
International Journal of Clothing Science and Technology,1.006
Sains Malaysiana,1.006
ORTHOPADE,1.004
JOURNAL OF STRUCTURAL CHEMISTRY,1.004
AMERICAN SURGEON,1.002
THEORETICAL COMPUTER SCIENCE,1.002
JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,1.002
JOURNAL OF GEOMETRIC ANALYSIS,1.002
Stochastics-An International Journal of Probability and Stochastic Processes,1
Drewno,1
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,1
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,1
MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,1
PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,1
Perspectives-Studies in Translation Theory and Practice,1
Journal of Psychologists and Counsellors in Schools,1
JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,1
REVIEW OF RADICAL POLITICAL ECONOMICS,1
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,1
International Journal of Sport Finance,1
INTERNATIONAL JOURNAL OF ODONATOLOGY,1
Chinese Journal of International Law,1
Acta Geodynamica et Geomaterialia,1
Journal of Combinatorial Algebra,1
Presidential Studies Quarterly,1
Ciencia e Investigacion Agraria,1
JFR-Journal of Family Research,1
Advances in Quantum Chemistry,1
ACTA VETERINARIA-BEOGRAD,1
Avian Biology Research,1
Ecological Restoration,1
Acta Botanica Mexicana,1
World Rabbit Science,1
Estudios de Economia,1
Journal of Semantics,1
Translation Studies,1
Oral History Review,1
HISTORICAL JOURNAL,1
ACTA ALIMENTARIA,1
QUATERNAIRE,1
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,1
Mathematica Slovaca,0.996
Mechanics & Industry,0.995
SCIENCEASIA,0.995
JOURNAL OF APPROXIMATION THEORY,0.993
Annals of Functional Analysis,0.993
FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH,0.992
Gradevinar,0.992
International Journal of Human Rights,0.991
Conservation Genetics Resources,0.991
ACTA CHIRURGICA BELGICA,0.99
Journal of Balkan and Near Eastern Studies,0.99
ANNALES ZOOLOGICI,0.99
Journal of Laboratory Medicine,0.989
JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY,0.988
JOURNAL OF THE AMERICAN HELICOPTER SOCIETY,0.988
Orthopaedic Nursing,0.988
Filomat,0.988
SCIENCE & SPORTS,0.987
ANNALI DI MATEMATICA PURA ED APPLICATA,0.986
REVSTAT-Statistical Journal,0.985
HUMAN RIGHTS QUARTERLY,0.985
Horticultura Brasileira,0.985
Handchirurgie Mikrochirurgie Plastische Chirurgie,0.985
Clothing and Textiles Research Journal,0.985
Archives of Clinical Psychiatry,0.984
PHILOSOPHY OF THE SOCIAL SCIENCES,0.984
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,0.984
Journal of Neurological Surgery Part A-Central European Neurosurgery,0.984
Panoeconomicus,0.984
Aequationes Mathematicae,0.984
PARALLEL COMPUTING,0.983
Journal of International Dispute Settlement,0.982
JOURNAL OF NONLINEAR OPTICAL PHYSICS & MATERIALS,0.981
Families Relationships and Societies,0.981
Micro & Nano Letters,0.98
PHI DELTA KAPPAN,0.98
Asia Pacific Journal of Anthropology,0.98
CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES,0.98
ACTA MATHEMATICA HUNGARICA,0.979
SOCIETY,0.979
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,0.979
Open Mathematics,0.979
SCANDINAVIAN POLITICAL STUDIES,0.978
ANNALES DE L INSTITUT FOURIER,0.978
IZVESTIYA MATHEMATICS,0.978
SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE,0.977
INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS,0.976
ICSID Review-Foreign Investment Law Journal,0.976
FIBER AND INTEGRATED OPTICS,0.976
APPLIED MAGNETIC RESONANCE,0.974
DISTRIBUTED AND PARALLEL DATABASES,0.974
PATHOLOGE,0.973
International Journal of Unconventional Computing,0.973
International Journal of Global Warming,0.972
British Journal of Middle Eastern Studies,0.972
KSII Transactions on Internet and Information Systems,0.972
Dendrobiology,0.972
Turkish Neurosurgery,0.972
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,0.971
INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,0.971
Space and Culture,0.971
Journal of Addictions Nursing,0.971
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,0.97
JOURNAL OF SYMBOLIC COMPUTATION,0.97
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,0.968
IEEE Latin America Transactions,0.967
ANIMAL SCIENCE PAPERS AND REPORTS,0.967
International Arab Journal of Information Technology,0.967
Syntax-A Journal of Theoretical Experimental and Interdisciplinary Research,0.966
LINGUISTICS,0.966
Studies in History and Philosophy of Science Part C-Studies in History and Philosophy of Biological and Biomedical Sciences,0.964
Romanian Journal of Economic Forecasting,0.963
JOURNAL OF ALGEBRAIC COMBINATORICS,0.963
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,0.963
COMPUTATIONAL COMPLEXITY,0.962
POLAR RECORD,0.962
Contemporary European History,0.962
NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,0.962
African Journal of Reproductive Health,0.961
DISCRETE MATHEMATICS,0.961
MEDICINA-BUENOS AIRES,0.96
METRIKA,0.96
American Law and Economics Review,0.96
ACTA ACUSTICA UNITED WITH ACUSTICA,0.96
Japanese Journal of Political Science,0.96
Intelligence and National Security,0.959
ACTA VETERINARIA HUNGARICA,0.959
Herpetological Conservation and Biology,0.958
PROCEEDINGS OF THE YORKSHIRE GEOLOGICAL SOCIETY,0.957
JOURNAL OF TROPICAL FOREST SCIENCE,0.957
Revista Mexicana de Biodiversidad,0.956
Brazilian Journal of Probability and Statistics,0.955
ZOOLOGICAL SCIENCE,0.955
RADIATION PROTECTION DOSIMETRY,0.954
Turkish Journal of Mathematics,0.954
SOCIAL SCIENCE HISTORY,0.954
ASTRONOMISCHE NACHRICHTEN,0.954
STUDIA PSYCHOLOGICA,0.953
SOCIAL COMPASS,0.951
ECONOMICS OF TRANSITION,0.951
Journal of Community Health Nursing,0.951
AMERICAN JOURNAL OF COMPARATIVE LAW,0.951
THALASSAS,0.951
Veterinary Research Forum,0.95
MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY,0.949
Pharmacognosy Magazine,0.948
JOURNAL OF NATURAL HISTORY,0.947
Journal of Thermal Science and Technology,0.947
Metallurgical Research & Technology,0.946
Journal of East European Management Studies,0.945
Nuclear Technology & Radiation Protection,0.945
NATURAL AREAS JOURNAL,0.945
INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY,0.944
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,0.944
ZOOLOGY IN THE MIDDLE EAST,0.944
AMERICAN ANNALS OF THE DEAF,0.944
International Journal of Surface Science and Engineering,0.944
FORUM MATHEMATICUM,0.943
Protection of Metals and Physical Chemistry of Surfaces,0.943
Journal of Integral Equations and Applications,0.943
MICROELECTRONICS INTERNATIONAL,0.942
OCEANOLOGY,0.942
INTERFACES AND FREE BOUNDARIES,0.941
PERSPECTIVES IN BIOLOGY AND MEDICINE,0.941
GAYANA,0.941
BOIS ET FORETS DES TROPIQUES,0.941
Botanical Sciences,0.94
ACTA OECONOMICA,0.939
Journal of Linguistic Anthropology,0.939
Gospodarka Surowcami Mineralnymi-Mineral Resources Management,0.938
JBI Evidence Implementation,0.938
Experimental and Clinical Transplantation,0.938
India Review,0.938
CONTRIBUTIONS TO INDIAN SOCIOLOGY,0.938
Revista de Psicologia del Deporte,0.936
Melbourne University Law Review,0.935
Open Astronomy,0.935
ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE,0.934
St Petersburg Mathematical Journal,0.934
Australian Economic Review,0.934
Bulletin of the Peabody Museum of Natural History,0.933
Boletin de la Sociedad Geologica Mexicana,0.933
REFERENCE SERVICES REVIEW,0.933
SYSTEMATIC BOTANY,0.933
RADICAL PHILOSOPHY,0.932
Acta Clinica Croatica,0.932
TURKISH JOURNAL OF ZOOLOGY,0.932
Qualitative Theory of Dynamical Systems,0.931
NORDIC JOURNAL OF BOTANY,0.931
INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,0.929
STATISTICAL MODELLING,0.927
CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,0.925
ENVIRONMENT AND HISTORY,0.925
Investment Analysts Journal,0.925
Chemical Industry & Chemical Engineering Quarterly,0.925
Politics Philosophy & Economics,0.925
MARINE ORNITHOLOGY,0.925
INTERNATIONAL JOURNAL OF MODERN PHYSICS E,0.924
THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,0.924
LC GC NORTH AMERICA,0.924
AFRICAN JOURNAL OF ECOLOGY,0.923
Discrete Analysis,0.923
THEORY AND PRACTICE OF LOGIC PROGRAMMING,0.923
IEEJ Transactions on Electrical and Electronic Engineering,0.923
ATLANTIC GEOLOGY,0.923
Turkish Journal of Field Crops,0.923
Estudios de Psicologia,0.923
Journal of Elementology,0.923
International Journal of Forensic Mental Health,0.922
PACIFIC SCIENCE,0.922
Postcolonial Studies,0.922
ARS Mathematica Contemporanea,0.922
Slovenian Veterinary Research,0.922
JOURNAL OF GRAPH THEORY,0.921
ACTA CARSOLOGICA,0.921
Macedonian Journal of Chemistry and Chemical engineering,0.92
CHIRURG,0.92
INTERNATIONAL POLYMER PROCESSING,0.92
Water Resources,0.919
International Journal of Corpus Linguistics,0.919
